model,window_id,target_date,step_ahead,actual_close,pred_close,pred_q10,pred_q90
itransformer,0,2025-07-01,1,105698.28125,108284.09,,
itransformer,0,2025-07-02,2,108859.3203125,110722.67,,
itransformer,0,2025-07-03,3,109647.9765625,109406.64,,
itransformer,0,2025-07-04,4,108034.3359375,111874.29,,
itransformer,0,2025-07-05,5,108231.1796875,109673.58,,
itransformer,0,2025-07-06,6,109232.0703125,106599.35,,
itransformer,0,2025-07-07,7,108299.8515625,109925.11,,
itransformer,0,2025-07-08,8,108950.2734375,112265.914,,
itransformer,0,2025-07-09,9,111326.5546875,112195.695,,
itransformer,0,2025-07-10,10,115987.203125,110552.125,,
itransformer,0,2025-07-11,11,117516.9921875,114472.01,,
itransformer,0,2025-07-12,12,117435.2265625,111844.5,,
itransformer,0,2025-07-13,13,119116.1171875,110368.29,,
itransformer,0,2025-07-14,14,119849.703125,110757.66,,
itransformer,0,2025-07-15,15,117777.1875,113548.77,,
itransformer,0,2025-07-16,16,118738.5078125,113959.05,,
itransformer,0,2025-07-17,17,119289.84375,112802.28,,
itransformer,0,2025-07-18,18,118003.2265625,111936.0,,
itransformer,0,2025-07-19,19,117939.9765625,111517.805,,
itransformer,0,2025-07-20,20,117300.7890625,113795.375,,
itransformer,1,2025-07-11,1,117516.9921875,115894.96,,
itransformer,1,2025-07-12,2,117435.2265625,119088.34,,
itransformer,1,2025-07-13,3,119116.1171875,119026.34,,
itransformer,1,2025-07-14,4,119849.703125,116962.88,,
itransformer,1,2025-07-15,5,117777.1875,113630.43,,
itransformer,1,2025-07-16,6,118738.5078125,117905.29,,
itransformer,1,2025-07-17,7,119289.84375,116108.82,,
itransformer,1,2025-07-18,8,118003.2265625,117693.375,,
itransformer,1,2025-07-19,9,117939.9765625,116466.14,,
itransformer,1,2025-07-20,10,117300.7890625,118660.234,,
itransformer,1,2025-07-21,11,117439.5390625,118845.54,,
itransformer,1,2025-07-22,12,119995.4140625,118505.8,,
itransformer,1,2025-07-23,13,118754.9609375,116479.48,,
itransformer,1,2025-07-24,14,118368.0,117883.79,,
itransformer,1,2025-07-25,15,117635.8828125,118423.58,,
itransformer,1,2025-07-26,16,117947.3671875,117062.86,,
itransformer,1,2025-07-27,17,119448.4921875,119452.31,,
itransformer,1,2025-07-28,18,117924.4765625,119192.19,,
itransformer,1,2025-07-29,19,117922.1484375,115600.71,,
itransformer,1,2025-07-30,20,117831.1875,116736.336,,
itransformer,2,2025-07-21,1,117439.5390625,126284.21,,
itransformer,2,2025-07-22,2,119995.4140625,127541.36,,
itransformer,2,2025-07-23,3,118754.9609375,126854.64,,
itransformer,2,2025-07-24,4,118368.0,124916.06,,
itransformer,2,2025-07-25,5,117635.8828125,124131.08,,
itransformer,2,2025-07-26,6,117947.3671875,125910.55,,
itransformer,2,2025-07-27,7,119448.4921875,125730.16,,
itransformer,2,2025-07-28,8,117924.4765625,127624.66,,
itransformer,2,2025-07-29,9,117922.1484375,122251.94,,
itransformer,2,2025-07-30,10,117831.1875,126937.55,,
itransformer,2,2025-07-31,11,115758.203125,125426.64,,
itransformer,2,2025-08-01,12,113320.0859375,128350.336,,
itransformer,2,2025-08-02,13,112526.9140625,122994.18,,
itransformer,2,2025-08-03,14,114217.671875,127982.21,,
