model,window_id,target_date,step_ahead,actual_close,pred_close,pred_q10,pred_q90
lag-llama,0,2025-07-01,1,105698.28125,107868.88,100837.171875,115418.60234375
lag-llama,0,2025-07-02,2,108859.3203125,107194.89,94668.13125,118042.02812500001
lag-llama,0,2025-07-03,3,109647.9765625,107966.35,90514.23203125,119698.68203125002
lag-llama,0,2025-07-04,4,108034.3359375,111882.54,94586.96015625,126990.16562500001
lag-llama,0,2025-07-05,5,108231.1796875,111301.94,96935.509375,128667.09140625001
lag-llama,0,2025-07-06,6,109232.0703125,111596.03,93226.83671875,136992.3703125
lag-llama,0,2025-07-07,7,108299.8515625,110344.87,88183.40234375,134978.41875
lag-llama,0,2025-07-08,8,108950.2734375,110758.52,86059.55234375,134694.50625
lag-llama,0,2025-07-09,9,111326.5546875,114898.68,92381.65,144259.50781250003
lag-llama,0,2025-07-10,10,115987.203125,117459.89,89210.9734375,148794.93593750003
lag-llama,0,2025-07-11,11,117516.9921875,120423.84,94862.19375,143592.38437500002
lag-llama,0,2025-07-12,12,117435.2265625,114989.1,92169.06796875,148514.3109375
lag-llama,0,2025-07-13,13,119116.1171875,113775.17,85598.96328125,148468.3578125
lag-llama,0,2025-07-14,14,119849.703125,111489.5,88466.80234375,139202.803125
lag-llama,0,2025-07-15,15,117777.1875,112003.05,86963.6640625,141533.0984375
lag-llama,0,2025-07-16,16,118738.5078125,115357.71,87942.8234375,141581.85
lag-llama,0,2025-07-17,17,119289.84375,115377.86,87016.534375,146319.63281250003
lag-llama,0,2025-07-18,18,118003.2265625,118937.48,85980.6,153547.52343750015
lag-llama,0,2025-07-19,19,117939.9765625,121714.95,77225.35234375,183331.53125000006
lag-llama,0,2025-07-20,20,117300.7890625,113300.76,74155.5796875,150975.29375
lag-llama,1,2025-07-11,1,117516.9921875,115958.82,105475.02578125,124542.0484375
lag-llama,1,2025-07-12,2,117435.2265625,114646.35,103133.31328125,130659.81484375002
lag-llama,1,2025-07-13,3,119116.1171875,116166.5,101590.0046875,134677.45937500003
lag-llama,1,2025-07-14,4,119849.703125,117730.13,100205.603125,138477.209375
lag-llama,1,2025-07-15,5,117777.1875,113862.73,99668.3140625,143886.41718750002
lag-llama,1,2025-07-16,6,118738.5078125,114703.59,98167.52421875,144673.06406250008
lag-llama,1,2025-07-17,7,119289.84375,116625.42,95218.73984375,160762.3359375
lag-llama,1,2025-07-18,8,118003.2265625,127345.36,93515.58359375,151598.4734375
lag-llama,1,2025-07-19,9,117939.9765625,127357.24,96631.56796875,165192.5234375
lag-llama,1,2025-07-20,10,117300.7890625,121525.3,93878.17734375,156680.48750000002
lag-llama,1,2025-07-21,11,117439.5390625,120403.73,94897.6515625,155237.146875
