model,window_id,target_date,step_ahead,actual_close,pred_close,pred_q10,pred_q90
lag-llama,0,2025-07-01,1,307.54998779296875,304.12286,295.26084899902344,311.35760498046875
lag-llama,0,2025-07-02,2,309.25,301.60437,280.0647003173828,316.8116516113281
lag-llama,0,2025-07-03,3,307.1400146484375,303.209,273.7052734375,324.2579254150391
lag-llama,0,2025-07-07,4,307.3699951171875,303.00275,266.3282440185547,334.2554138183594
lag-llama,0,2025-07-08,5,304.1600036621094,304.61374,262.0120391845703,341.5849822998047
lag-llama,0,2025-07-09,6,305.5199890136719,309.56693,248.45885772705077,352.46029052734383
lag-llama,0,2025-07-10,7,306.20001220703125,300.9066,251.86981658935548,354.09707641601574
lag-llama,0,2025-07-11,8,309.1400146484375,312.13638,246.23912963867187,367.56873168945316
lag-llama,0,2025-07-14,9,308.010009765625,324.49194,243.22049865722656,401.23752136230473
lag-llama,0,2025-07-15,10,306.7300109863281,335.36255,246.55261993408203,434.7375396728516
lag-llama,0,2025-07-16,11,308.260009765625,348.61087,234.70669708251953,466.97198791503916
lag-llama,0,2025-07-17,12,307.5899963378906,343.63995,219.83362731933593,472.298178100586
lag-llama,0,2025-07-18,13,308.3900146484375,361.65518,185.76490173339843,503.86347351074266
lag-llama,0,2025-07-21,14,313.1300048828125,375.45544,209.8855712890625,515.631121826172
lag-llama,0,2025-07-22,15,316.1000061035156,358.78485,191.83560333251953,539.7911926269531
lag-llama,0,2025-07-23,16,312.17999267578125,336.91827,210.20620574951172,541.0024658203128
lag-llama,0,2025-07-24,17,310.2699890136719,342.6582,206.99401092529297,531.8871826171875
lag-llama,0,2025-07-25,18,307.3999938964844,343.53302,194.2738006591797,534.2443237304689
lag-llama,0,2025-07-28,19,305.4100036621094,356.0095,201.9296112060547,561.911785888672
lag-llama,0,2025-07-29,20,306.25,338.78543,183.16075592041017,546.4957275390625
lag-llama,1,2025-07-16,1,308.260009765625,309.92685,300.0437316894531,319.53358154296876
lag-llama,1,2025-07-17,2,307.5899963378906,313.3397,294.4543060302734,332.7706787109375
lag-llama,1,2025-07-18,3,308.3900146484375,319.29404,291.4216278076172,347.5431854248047
lag-llama,1,2025-07-21,4,313.1300048828125,328.58926,292.40391540527344,365.55884399414066
lag-llama,1,2025-07-22,5,316.1000061035156,340.41025,287.4231475830078,410.69403381347655
lag-llama,1,2025-07-23,6,312.17999267578125,359.15793,282.6540771484375,436.39502563476566
lag-llama,1,2025-07-24,7,310.2699890136719,372.0041,287.64259948730466,471.539422607422
lag-llama,1,2025-07-25,8,307.3999938964844,347.23895,289.69859924316404,473.127294921875
lag-llama,1,2025-07-28,9,305.4100036621094,390.49774,268.1415100097656,554.3540161132813
lag-llama,1,2025-07-29,10,306.25,391.01868,278.9154449462891,586.2249389648438
lag-llama,1,2025-07-30,11,300.9599914550781,411.50555,281.336669921875,575.2497375488282
lag-llama,1,2025-07-31,12,302.9599914550781,394.72302,278.3732086181641,557.8005187988282
lag-llama,1,2025-08-01,13,309.1099853515625,400.6208,260.11716613769534,573.7028137207031
lag-llama,1,2025-08-04,14,310.9100036621094,417.48782,266.9700225830078,622.1867065429692
lag-llama,1,2025-08-05,15,311.1600036621094,403.7133,261.79664001464846,588.4012329101564
