model,window_id,target_date,step_ahead,actual_close,pred_close,pred_q10,pred_q90
timesfm,0,2025-07-01,1,71.66999816894531,70.76648,69.61215,71.75694
timesfm,0,2025-07-02,2,70.91000366210938,70.75872,69.2271,72.13666
timesfm,0,2025-07-03,3,71.3499984741211,70.74663,68.92897,72.38955
timesfm,0,2025-07-07,4,71.01000213623047,70.828636,68.88845,72.64931
timesfm,0,2025-07-08,5,70.23999786376953,70.749855,68.52664,72.76366
timesfm,0,2025-07-09,6,69.4800033569336,70.731224,68.26466,72.90177
timesfm,0,2025-07-10,7,69.7699966430664,70.79384,68.147,73.04048
timesfm,0,2025-07-11,8,69.87000274658203,70.769646,67.96814,73.04306
timesfm,0,2025-07-14,9,69.47000122070312,70.73147,67.79056,73.1617
timesfm,0,2025-07-15,10,69.36000061035156,70.74461,67.76851,73.35745
timesfm,0,2025-07-16,11,69.2699966430664,70.68557,67.66018,73.39731
timesfm,0,2025-07-17,12,70.58999633789062,70.72875,67.55089,73.44218
timesfm,0,2025-07-18,13,69.8499984741211,70.66352,67.47363,73.33991
timesfm,0,2025-07-21,14,70.06999969482422,70.65429,67.35894,73.51885
timesfm,0,2025-07-22,15,69.66000366210938,70.65005,67.26634,73.739876
timesfm,0,2025-07-23,16,69.16000366210938,70.61942,67.16759,73.75877
timesfm,0,2025-07-24,17,69.0999984741211,70.54345,66.93202,73.84434
timesfm,0,2025-07-25,18,69.16999816894531,70.50544,66.82212,73.74595
timesfm,0,2025-07-28,19,68.08999633789062,70.491104,66.54165,73.860344
timesfm,0,2025-07-29,20,69.37999725341797,70.60278,66.672066,74.06521
timesfm,1,2025-07-16,1,69.2699966430664,69.485115,68.288086,70.60114
timesfm,1,2025-07-17,2,70.58999633789062,69.49908,68.07002,70.98473
timesfm,1,2025-07-18,3,69.8499984741211,69.43563,67.752525,71.13851
timesfm,1,2025-07-21,4,70.06999969482422,69.47901,67.68239,71.36885
timesfm,1,2025-07-22,5,69.66000366210938,69.37315,67.37949,71.43427
timesfm,1,2025-07-23,6,69.16000366210938,69.36839,67.15026,71.57192
timesfm,1,2025-07-24,7,69.0999984741211,69.37554,66.999886,71.68593
timesfm,1,2025-07-25,8,69.16999816894531,69.31176,66.693504,71.67231
timesfm,1,2025-07-28,9,68.08999633789062,69.29409,66.51717,71.733185
timesfm,1,2025-07-29,10,69.37999725341797,69.29774,66.39762,71.89824
timesfm,1,2025-07-30,11,68.75,69.22976,66.25292,71.90534
timesfm,1,2025-07-31,12,67.88999938964844,69.27463,66.142204,72.05081
timesfm,1,2025-08-01,13,68.86000061035156,69.24661,66.13259,72.03888
timesfm,1,2025-08-04,14,68.95999908447266,69.27108,65.952736,72.22516
timesfm,1,2025-08-05,15,69.05000305175781,69.25331,65.86043,72.36633
timesfm,1,2025-08-06,16,69.51000213623047,69.206726,65.631935,72.310715
timesfm,1,2025-08-07,17,70.43000030517578,69.09732,65.44956,72.41153
timesfm,1,2025-08-08,18,70.33999633789062,69.107056,65.30952,72.382126
timesfm,1,2025-08-11,19,70.75,69.05145,64.98827,72.50278
timesfm,1,2025-08-12,20,70.70999908447266,69.02353,64.89173,72.61005
timesfm,2,2025-07-30,1,68.75,69.27223,68.04671,70.34201
timesfm,2,2025-07-31,2,67.88999938964844,69.24329,67.8483,70.65505
timesfm,2,2025-08-01,3,68.86000061035156,69.24732,67.61222,70.826614
timesfm,2,2025-08-04,4,68.95999908447266,69.25583,67.561584,71.0046
timesfm,2,2025-08-05,5,69.05000305175781,69.223206,67.34888,71.08852
timesfm,2,2025-08-06,6,69.51000213623047,69.17105,67.15718,71.190575
timesfm,2,2025-08-07,7,70.43000030517578,69.12482,67.01146,71.22536
