model,window_id,target_date,step_ahead,actual_close,pred_close,pred_q10,pred_q90
lag-llama,0,2025-07-01,1,153.3000030517578,159.89107,149.17496337890626,172.9913284301758
lag-llama,0,2025-07-02,2,157.25,165.92216,142.0984649658203,185.46635742187505
lag-llama,0,2025-07-03,3,159.33999633789062,166.0499,138.38531188964845,196.175262451172
lag-llama,0,2025-07-07,4,158.24000549316406,173.07751,130.6704895019531,226.9046310424805
lag-llama,0,2025-07-08,5,160.0,180.94801,135.3074951171875,268.8183990478517
lag-llama,0,2025-07-09,6,162.8800048828125,204.08334,140.055078125,279.1542694091798
lag-llama,0,2025-07-10,7,164.10000610351562,215.6658,135.0206787109375,356.4442993164063
lag-llama,0,2025-07-11,8,164.9199981689453,223.25905,136.86961975097657,370.759478759766
lag-llama,0,2025-07-14,9,164.07000732421875,195.31284,126.58783798217773,317.72805786132824
lag-llama,0,2025-07-15,10,170.6999969482422,194.27223,127.7524543762207,319.59136657714845
lag-llama,0,2025-07-16,11,171.3699951171875,193.28981,116.42575225830078,325.868930053711
lag-llama,0,2025-07-17,12,173.0,198.0629,119.27175064086914,305.4963836669923
lag-llama,0,2025-07-18,13,172.41000366210938,184.69861,114.0653778076172,272.8949493408204
lag-llama,0,2025-07-21,14,171.3800048828125,189.52069,105.53607330322265,284.33214721679707
lag-llama,0,2025-07-22,15,167.02999877929688,163.89635,96.24199829101562,275.3085021972657
lag-llama,0,2025-07-23,16,170.77999877929688,157.25092,73.51122055053712,296.1482055664064
lag-llama,0,2025-07-24,17,173.74000549316406,181.36914,106.1682258605957,347.71635437011753
lag-llama,0,2025-07-25,18,173.5,187.20259,107.54849624633789,329.7246948242188
lag-llama,0,2025-07-28,19,176.75,189.93863,114.08373794555663,368.0889282226563
lag-llama,0,2025-07-29,20,175.50999450683594,184.09178,80.6936134338379,357.2480560302735
lag-llama,1,2025-07-16,1,171.3699951171875,175.10896,159.65089111328126,188.0477172851563
lag-llama,1,2025-07-17,2,173.0,174.20569,153.28074798583984,202.20672149658205
lag-llama,1,2025-07-18,3,172.41000366210938,183.65414,150.24016723632812,224.48735656738285
lag-llama,1,2025-07-21,4,171.3800048828125,186.4906,143.37196044921876,250.46869201660158
lag-llama,1,2025-07-22,5,167.02999877929688,199.58209,142.508740234375,283.76971435546875
lag-llama,1,2025-07-23,6,170.77999877929688,215.33417,140.66136779785157,319.8471282958986
lag-llama,1,2025-07-24,7,173.74000549316406,211.38344,132.7146759033203,382.23859252929685
lag-llama,1,2025-07-25,8,173.5,196.807,124.5327766418457,354.45908813476564
lag-llama,1,2025-07-28,9,176.75,213.85236,129.4640106201172,387.0244659423829
lag-llama,1,2025-07-29,10,175.50999450683594,210.65431,123.57210006713868,359.48446044921883
lag-llama,1,2025-07-30,11,179.27000427246094,191.63309,121.63315658569336,347.5105255126954
lag-llama,1,2025-07-31,12,177.8699951171875,188.7909,125.27695770263672,326.9770263671876
lag-llama,1,2025-08-01,13,173.72000122070312,192.44043,109.52262802124024,328.2810272216797
lag-llama,1,2025-08-04,14,180.0,186.434,109.95441818237305,316.76434020996095
lag-llama,1,2025-08-05,15,178.25999450683594,190.05086,116.96233901977538,291.88633422851586
lag-llama,1,2025-08-06,16,179.4199981689453,181.61275,74.41760330200195,301.39753112792977
lag-llama,1,2025-08-07,17,180.7700042724609,169.30446,91.64963836669922,330.63104858398435
lag-llama,1,2025-08-08,18,182.6999969482422,173.36467,70.75677185058593,348.4156799316407
lag-llama,1,2025-08-11,19,182.05999755859372,199.7655,47.85932769775391,325.32935485839846
lag-llama,1,2025-08-12,20,183.16000366210935,197.34758,67.20450019836426,365.8600036621095
lag-llama,2,2025-07-30,1,179.27000427246094,177.52405,166.43517150878907,193.15719757080078
lag-llama,2,2025-07-31,2,177.8699951171875,180.41766,155.99892578125,207.30548248291018
lag-llama,2,2025-08-01,3,173.72000122070312,190.56508,153.6384033203125,226.33690490722657
lag-llama,2,2025-08-04,4,180.0,199.15805,155.88772277832032,246.736962890625
lag-llama,2,2025-08-05,5,178.25999450683594,208.1772,156.59356231689452,280.73398437500003
lag-llama,2,2025-08-06,6,179.4199981689453,227.30943,153.78961944580078,336.26819763183596
lag-llama,2,2025-08-07,7,180.7700042724609,236.73813,155.33333587646484,367.06980895996094
lag-llama,2,2025-08-08,8,182.6999969482422,224.56268,141.3790740966797,318.12463684082036
lag-llama,2,2025-08-11,9,182.05999755859372,222.34453,143.6453887939453,349.7656982421875
lag-llama,2,2025-08-12,10,183.16000366210935,217.35817,109.31336212158203,339.7493530273438
lag-llama,2,2025-08-13,11,181.58999633789065,210.84816,104.43124237060547,347.51326904296883
lag-llama,2,2025-08-14,12,182.0200042724609,220.16896,113.35971374511719,340.74188842773447
lag-llama,2,2025-08-15,13,180.4499969482422,214.42606,98.01500091552735,356.59709472656255
lag-llama,2,2025-08-18,14,182.00999450683597,200.0779,73.99264221191406,331.58062133789076
lag-llama,2,2025-08-19,15,175.63999938964844,212.40279,119.09977264404297,361.5610504150391
lag-llama,2,2025-08-20,16,175.39999389648438,200.44957,104.06457061767578,357.9736328125001
lag-llama,2,2025-08-21,17,174.97999572753906,165.1991,12.248044586181663,336.0770172119141
lag-llama,2,2025-08-22,18,177.99000549316406,185.4446,45.41819839477539,338.91040649414066
lag-llama,2,2025-08-25,19,179.80999755859375,182.76276,57.39916915893555,376.063803100586
lag-llama,2,2025-08-26,20,181.7700042724609,185.80986,61.79748344421387,325.8723785400391
lag-llama,3,2025-08-13,1,181.58999633789065,187.682,174.15092926025392,198.72762756347657
lag-llama,3,2025-08-14,2,182.0200042724609,194.33376,174.87926788330077,213.40897216796876
lag-llama,3,2025-08-15,3,180.4499969482422,204.48495,174.4717269897461,238.93085937500004
lag-llama,3,2025-08-18,4,182.00999450683597,214.97935,173.44634857177735,271.60601196289065
lag-llama,3,2025-08-19,5,175.63999938964844,231.74727,172.3442581176758,302.3572418212891
lag-llama,3,2025-08-20,6,175.39999389648438,234.1499,157.82077331542968,307.0310729980469
lag-llama,3,2025-08-21,7,174.97999572753906,230.91614,139.10352325439453,342.78377075195317
lag-llama,3,2025-08-22,8,177.99000549316406,233.40366,128.43316574096679,372.03845520019536
lag-llama,3,2025-08-25,9,179.80999755859375,241.58545,118.12176971435547,350.260092163086
lag-llama,3,2025-08-26,10,181.7700042724609,226.03932,113.23948974609375,368.77531738281255
lag-llama,3,2025-08-27,11,181.6000061035156,207.41199,43.800559997558594,330.9740234375001
lag-llama,3,2025-08-28,12,180.1699981689453,190.5689,76.1811279296875,333.11059570312506
lag-llama,3,2025-08-29,13,174.17999267578125,186.87616,73.43714828491213,319.62225341796875
lag-llama,3,2025-09-02,14,170.77999877929688,188.87207,47.37697143554688,335.0522369384768
lag-llama,3,2025-09-03,15,170.6199951171875,191.06879,73.84339065551758,342.5728485107422
lag-llama,3,2025-09-04,16,171.66000366210938,226.25816,105.6620704650879,363.05942687988284
lag-llama,3,2025-09-05,17,167.02000427246094,202.20673,95.14227142333985,347.37765808105473
lag-llama,3,2025-09-08,18,168.30999755859375,184.72089,30.726061248779295,305.4912078857422
lag-llama,3,2025-09-09,19,170.75999450683594,198.34737,52.0598503112793,342.3414581298829
lag-llama,3,2025-09-10,20,177.3300018310547,197.63914,42.435341644287114,345.02131042480494
lag-llama,4,2025-08-27,1,181.6000061035156,183.50386,174.47630920410157,192.9451400756836
lag-llama,4,2025-08-28,2,180.1699981689453,184.38736,169.1977325439453,201.90399169921875
lag-llama,4,2025-08-29,3,174.17999267578125,188.57632,166.7828826904297,214.15167846679688
