model,window_id,target_date,step_ahead,actual_close,pred_close,pred_q10,pred_q90
kronos,0,2025-07-01,1,39986.328125,40321.63046875,40029.061328125,40693.028125
kronos,0,2025-07-02,2,39762.48046875,40075.686328125,39608.38125,40548.57734375
kronos,0,2025-07-03,3,39785.8984375,40070.420703125,39510.03046875,40639.566796875
kronos,0,2025-07-04,4,39810.87890625,39925.034375,39410.931640625,40547.628515625
kronos,0,2025-07-07,5,39587.6796875,40020.57890625,39617.79296875,40560.478125
kronos,0,2025-07-08,6,39688.80859375,39989.32265625,39480.78515625,40628.25859375
kronos,0,2025-07-09,7,39821.28125,39877.351953125,39430.28828125,40433.778125
kronos,0,2025-07-10,8,39646.359375,39779.153125,39512.590234375,40271.194921875
kronos,0,2025-07-11,9,39569.6796875,39475.886328125,38969.558203125,40064.75
kronos,0,2025-07-14,10,39459.62109375,39543.543359375,37874.294921875,40195.18359375
kronos,0,2025-07-15,11,39678.01953125,39487.476953125,38627.48046875,40339.273046875
kronos,0,2025-07-16,12,39663.3984375,39486.833203125,38919.8390625,40061.35234375
kronos,0,2025-07-17,13,39901.19140625,39588.111328125,39321.252734375,39925.56171875
kronos,0,2025-07-18,14,39819.109375,39294.72734375,38831.4546875,39853.193359375
kronos,0,2025-07-22,15,39774.921875,39385.785546875,39005.668359375,39956.30546875
kronos,0,2025-07-23,16,41171.3203125,39510.54921875,38995.240625,40185.973828125
kronos,0,2025-07-24,17,41826.33984375,39251.1671875,38327.799609375,40176.780859375
kronos,0,2025-07-25,18,41456.23046875,39141.083203125,37770.67265625,40101.06484375
kronos,0,2025-07-28,19,40998.26953125,39200.919140625,38202.49453125,39997.358203125
kronos,0,2025-07-29,20,40674.55078125,39290.971484375,38775.6484375,39770.802734375
kronos,1,2025-07-15,1,39678.01953125,39313.42734375,38826.8359375,39732.74453125
kronos,1,2025-07-16,2,39663.3984375,39147.158203125,38861.848046875,39479.6234375
kronos,1,2025-07-17,3,39901.19140625,39125.6421875,38815.338671875,39453.87890625
kronos,1,2025-07-18,4,39819.109375,38876.26171875,38004.258203125,39547.38125
kronos,1,2025-07-22,5,39774.921875,39259.980078125,38716.541015625,39946.339453125
kronos,1,2025-07-23,6,41171.3203125,39439.637109375,38662.95078125,40238.9078125
kronos,1,2025-07-24,7,41826.33984375,39390.37890625,38584.007421875,40149.234765625
kronos,1,2025-07-25,8,41456.23046875,39424.933203125,38766.983203125,39923.730859375
kronos,1,2025-07-28,9,40998.26953125,39495.655078125,39010.723046875,39980.889453125
kronos,1,2025-07-29,10,40674.55078125,39402.92890625,38837.95390625,39964.78671875
kronos,1,2025-07-30,11,40654.69921875,39443.09375,38817.585546875,40123.38515625
kronos,1,2025-07-31,12,41069.8203125,39507.5515625,39094.958984375,39874.082421875
kronos,1,2025-08-01,13,40799.6015625,39433.039453125,38804.834765625,40103.998828125
kronos,1,2025-08-04,14,40290.69921875,39697.215625,38901.176953125,40244.993359375
kronos,1,2025-08-05,15,40549.5390625,39444.16953125,38784.0640625,40147.21015625
kronos,1,2025-08-06,16,40794.859375,39311.505859375,38440.433203125,40010.745703125
kronos,1,2025-08-07,17,41059.1484375,39305.72421875,38599.705078125,40158.530859375
kronos,1,2025-08-08,18,41820.48046875,39408.541796875,38764.370703125,40045.813671875
kronos,1,2025-08-12,19,42718.171875,39318.707421875,38551.189453125,40187.590625
kronos,1,2025-08-13,20,43274.671875,39079.54609375,38166.048046875,40243.603515625
kronos,2,2025-07-30,1,40654.69921875,40360.80078125,39836.52734375,40952.345703125
kronos,2,2025-07-31,2,41069.8203125,40344.160546875,39707.7328125,41364.613671875
kronos,2,2025-08-01,3,40799.6015625,40191.671484375,39492.633203125,40967.856640625
kronos,2,2025-08-04,4,40290.69921875,40165.285546875,39372.6515625,40993.782421875
kronos,2,2025-08-05,5,40549.5390625,39896.1875,39134.334375,40617.466796875
kronos,2,2025-08-06,6,40794.859375,39939.521875,39362.186328125,40384.906640625
kronos,2,2025-08-07,7,41059.1484375,39961.025390625,39442.369921875,40241.1609375
kronos,2,2025-08-08,8,41820.48046875,39793.96484375,39101.896484375,40605.21875
kronos,2,2025-08-12,9,42718.171875,39695.05625,39083.974609375,40744.942578125
kronos,2,2025-08-13,10,43274.671875,39354.074609375,38528.4265625,40125.592578125
kronos,2,2025-08-14,11,42649.26171875,39475.060546875,38924.279296875,40132.3375
kronos,2,2025-08-15,12,43378.30859375,39305.709375,38800.066015625,39824.03828125
kronos,2,2025-08-18,13,43714.30859375,39315.731640625,38773.47890625,39812.059765625
kronos,2,2025-08-19,14,43546.2890625,39275.87109375,38820.280859375,39618.607421875
kronos,2,2025-08-20,15,42888.55078125,39073.1828125,38462.012109375,39943.60625
kronos,2,2025-08-21,16,42610.171875,38884.850390625,38056.845703125,39669.023046875
kronos,2,2025-08-22,17,42633.2890625,38800.859375,37847.606640625,39463.926953125
kronos,2,2025-08-25,18,42807.8203125,38974.049609375,38409.466015625,39544.524609375
kronos,2,2025-08-26,19,42394.3984375,39136.926953125,38432.4625,39658.22890625
kronos,2,2025-08-27,20,42520.26953125,38979.529296875,38363.553125,39608.756640625
kronos,3,2025-08-14,1,42649.26171875,42457.713671875,41956.502734375,42772.913671875
kronos,3,2025-08-15,2,43378.30859375,41244.930859375,40779.377734375,41714.0359375
kronos,3,2025-08-18,3,43714.30859375,41026.590234375,39924.939453125,42253.61875
kronos,3,2025-08-19,4,43546.2890625,40724.2703125,40224.22578125,41328.344921875
kronos,3,2025-08-20,5,42888.55078125,40526.6609375,39675.446484375,41286.451171875
kronos,3,2025-08-21,6,42610.171875,40345.413671875,39375.307421875,41173.93515625
kronos,3,2025-08-22,7,42633.2890625,40303.116796875,39794.9765625,40886.68984375
kronos,3,2025-08-25,8,42807.8203125,40450.942578125,39752.305078125,41398.23046875
kronos,3,2025-08-26,9,42394.3984375,40027.796875,39671.690625,40755.41484375
kronos,3,2025-08-27,10,42520.26953125,39827.792578125,39209.428515625,40371.040234375
kronos,3,2025-08-28,11,42828.7890625,39215.694140625,38798.90625,39461.38984375
kronos,3,2025-08-29,12,42718.46875,39197.81796875,38841.473828125,39656.669921875
kronos,3,2025-09-01,13,42188.7890625,39114.030859375,38492.606640625,39709.946484375
kronos,3,2025-09-02,14,42310.48828125,39277.401953125,38561.306640625,39889.631640625
kronos,3,2025-09-03,15,41938.890625,39307.735546875,38611.883984375,39957.36953125
kronos,3,2025-09-04,16,42580.26953125,39133.77265625,38144.43984375,39959.47421875
kronos,3,2025-09-05,17,43018.75,39379.175,38652.298828125,40247.687890625
kronos,3,2025-09-08,18,43643.80859375,39541.25703125,38854.8359375,40257.10625
kronos,3,2025-09-09,19,43459.2890625,39026.5109375,38323.098828125,39442.731640625
kronos,3,2025-09-10,20,43837.671875,38997.736328125,38183.22578125,39813.92421875
kronos,4,2025-08-28,1,42828.7890625,42436.036328125,41990.34609375,42892.05546875
kronos,4,2025-08-29,2,42718.46875,41631.622265625,40953.273828125,42310.630078125
kronos,4,2025-09-01,3,42188.7890625,40995.634765625,39758.934765625,41749.7328125
kronos,4,2025-09-02,4,42310.48828125,40757.88203125,39474.76015625,41576.4890625
kronos,4,2025-09-03,5,41938.890625,40270.291015625,38799.17578125,41416.34765625
kronos,4,2025-09-04,6,42580.26953125,40347.144921875,39102.993359375,41272.735546875
kronos,4,2025-09-05,7,43018.75,40040.10390625,38891.246484375,41034.61640625
kronos,4,2025-09-08,8,43643.80859375,39816.234765625,38805.687890625,40684.6203125
kronos,4,2025-09-09,9,43459.2890625,39688.234375,38378.802734375,40996.944921875
kronos,4,2025-09-10,10,43837.671875,39567.658984375,38333.228515625,40441.555078125
kronos,4,2025-09-11,11,44372.5,39407.6609375,38636.522265625,40247.3375
kronos,4,2025-09-12,12,44768.12109375,39121.821875,38580.543359375,39715.0578125
kronos,4,2025-09-16,13,44902.26953125,39101.013671875,38249.83984375,39772.422265625
kronos,4,2025-09-17,14,44790.37890625,38869.490234375,37534.8609375,39937.387109375
