model,window_id,target_date,step_ahead,actual_close,pred_close,pred_q10,pred_q90
lag-llama,0,2025-07-01,1,39986.328125,38238.734,35064.198828125,41766.5046875
lag-llama,0,2025-07-02,2,39762.48046875,38717.39,34713.278125,42891.745703125
lag-llama,0,2025-07-03,3,39785.8984375,38203.234,34499.642578125,41425.717578125
lag-llama,0,2025-07-04,4,39810.87890625,37915.574,34426.419140625,41429.27890625
lag-llama,0,2025-07-07,5,39587.6796875,38218.45,34827.062890625,41793.415234375
lag-llama,0,2025-07-08,6,39688.80859375,38162.82,34378.748046875,41307.191796875
lag-llama,0,2025-07-09,7,39821.28125,37926.715,34050.69765625,41716.6234375
lag-llama,0,2025-07-10,8,39646.359375,37849.81,34484.975390625,41519.08125
lag-llama,0,2025-07-11,9,39569.6796875,37955.21,34750.53203125,41176.808203125
lag-llama,0,2025-07-14,10,39459.62109375,38192.43,35166.66484375,41125.622265625
lag-llama,0,2025-07-15,11,39678.01953125,37647.684,34179.196875,40770.648046875
lag-llama,0,2025-07-16,12,39663.3984375,38162.58,35205.96640625,40868.68046875
lag-llama,0,2025-07-17,13,39901.19140625,38337.535,35605.652734375,41155.56015625
lag-llama,0,2025-07-18,14,39819.109375,37949.523,34910.0234375,40811.628125
lag-llama,0,2025-07-22,15,39774.921875,38224.637,34861.343359375,41782.360156250004
lag-llama,0,2025-07-23,16,41171.3203125,38200.203,35102.93203125,41286.7421875
lag-llama,0,2025-07-24,17,41826.33984375,38267.984,35049.23046875,42129.838671875
lag-llama,0,2025-07-25,18,41456.23046875,38404.516,34928.6546875,41577.66171875
lag-llama,0,2025-07-28,19,40998.26953125,37803.56,34915.11015625,40968.46015625
lag-llama,0,2025-07-29,20,40674.55078125,37620.44,34594.122265625,40748.451953125004
lag-llama,1,2025-07-15,1,39678.01953125,38434.566,34889.23203125,41670.997265625
lag-llama,1,2025-07-16,2,39663.3984375,38346.426,34674.645703125,41918.70390625
lag-llama,1,2025-07-17,3,39901.19140625,38438.56,35293.301953125,41720.5328125
lag-llama,1,2025-07-18,4,39819.109375,38563.22,35652.687109375,42173.0671875
lag-llama,1,2025-07-22,5,39774.921875,38392.918,35146.243359375,41706.26015625
lag-llama,1,2025-07-23,6,41171.3203125,38606.746,34738.320703125,41614.974609375
lag-llama,1,2025-07-24,7,41826.33984375,38132.246,35365.83125,41965.2609375
lag-llama,1,2025-07-25,8,41456.23046875,37907.953,34333.81328125,41710.626953125
lag-llama,1,2025-07-28,9,40998.26953125,38528.805,35403.303515625,42200.234375
lag-llama,1,2025-07-29,10,40674.55078125,38243.582,35085.0,41809.69609375
lag-llama,1,2025-07-30,11,40654.69921875,38571.145,35080.6890625,41805.928515625004
lag-llama,1,2025-07-31,12,41069.8203125,38157.766,34293.166796875,41778.1546875
lag-llama,1,2025-08-01,13,40799.6015625,38506.86,35118.789453125,41653.510546875004
lag-llama,1,2025-08-04,14,40290.69921875,37902.04,34269.69296875,41055.508203125006
lag-llama,1,2025-08-05,15,40549.5390625,37898.06,34275.932421875,41406.85390625
lag-llama,1,2025-08-06,16,40794.859375,38492.004,34744.180859375,42235.919140625
lag-llama,1,2025-08-07,17,41059.1484375,38420.76,35583.90546875,41882.6046875
lag-llama,1,2025-08-08,18,41820.48046875,38039.81,34477.53125,40541.108203125004
lag-llama,1,2025-08-12,19,42718.171875,38637.984,36049.399609375,41059.47109375
lag-llama,1,2025-08-13,20,43274.671875,38624.48,35443.051953125,42167.978515625
lag-llama,2,2025-07-30,1,40654.69921875,38473.72,33787.68671875,42664.314453125
lag-llama,2,2025-07-31,2,41069.8203125,38980.086,33783.482421875,43927.880078125
lag-llama,2,2025-08-01,3,40799.6015625,38932.285,35418.7046875,42577.08554687501
lag-llama,2,2025-08-04,4,40290.69921875,38914.656,35104.152734375,42894.712109375
lag-llama,2,2025-08-05,5,40549.5390625,38326.594,35149.837890625,42099.675
lag-llama,2,2025-08-06,6,40794.859375,37711.84,33560.721484375,41555.023828125
lag-llama,2,2025-08-07,7,41059.1484375,38364.285,34274.698046875,43038.453125
lag-llama,2,2025-08-08,8,41820.48046875,38708.984,34120.2140625,43952.592578125
lag-llama,2,2025-08-12,9,42718.171875,37963.39,33643.9140625,42188.4203125
lag-llama,2,2025-08-13,10,43274.671875,38526.414,35376.7,42251.473046875
lag-llama,2,2025-08-14,11,42649.26171875,38665.22,34905.896875,42617.376953125
lag-llama,2,2025-08-15,12,43378.30859375,38168.61,35107.078125,41583.888671875
lag-llama,2,2025-08-18,13,43714.30859375,37786.72,33856.91171875,41637.323046875004
lag-llama,2,2025-08-19,14,43546.2890625,38230.676,34335.12890625,42164.520703125
lag-llama,2,2025-08-20,15,42888.55078125,38397.51,34342.44296875,42489.6546875
lag-llama,2,2025-08-21,16,42610.171875,38400.402,34660.24765625,42020.5453125
lag-llama,2,2025-08-22,17,42633.2890625,38591.56,34586.059765625,41640.980078125
lag-llama,2,2025-08-25,18,42807.8203125,38191.023,35299.59296875,40804.553125000006
