model,window_id,target_date,step_ahead,actual_close,pred_close,pred_q10,pred_q90
timesfm,0,2025-07-01,1,39986.328125,40520.156,39639.598,41272.58
timesfm,0,2025-07-02,2,39762.48046875,40491.82,39363.13,41461.15
timesfm,0,2025-07-03,3,39785.8984375,40359.3,38999.816,41466.82
timesfm,0,2025-07-04,4,39810.87890625,40276.67,38733.824,41512.03
timesfm,0,2025-07-07,5,39587.6796875,40199.312,38571.727,41557.58
timesfm,0,2025-07-08,6,39688.80859375,40202.918,38431.027,41646.02
timesfm,0,2025-07-09,7,39821.28125,40133.12,38259.89,41609.715
timesfm,0,2025-07-10,8,39646.359375,40114.4,38121.53,41671.93
timesfm,0,2025-07-11,9,39569.6796875,40083.703,38046.926,41721.152
timesfm,0,2025-07-14,10,39459.62109375,40037.746,37878.69,41746.543
timesfm,0,2025-07-15,11,39678.01953125,40040.176,37870.25,41804.055
timesfm,0,2025-07-16,12,39663.3984375,40087.582,37810.566,41863.64
timesfm,0,2025-07-17,13,39901.19140625,40050.164,37806.918,41867.867
timesfm,0,2025-07-18,14,39819.109375,39971.15,37631.91,41872.07
timesfm,0,2025-07-22,15,39774.921875,39813.645,37408.68,41701.58
timesfm,0,2025-07-23,16,41171.3203125,39673.457,37248.71,41643.234
timesfm,0,2025-07-24,17,41826.33984375,39628.023,37156.074,41600.09
timesfm,0,2025-07-25,18,41456.23046875,39612.688,37135.2,41619.914
timesfm,0,2025-07-28,19,40998.26953125,39550.49,36975.027,41678.992
timesfm,0,2025-07-29,20,40674.55078125,39529.1,36825.54,41644.11
timesfm,1,2025-07-15,1,39678.01953125,39496.074,38943.52,40030.15
timesfm,1,2025-07-16,2,39663.3984375,39544.15,38820.23,40243.273
timesfm,1,2025-07-17,3,39901.19140625,39500.35,38594.098,40305.316
timesfm,1,2025-07-18,4,39819.109375,39524.04,38461.05,40395.414
timesfm,1,2025-07-22,5,39774.921875,39492.36,38320.332,40449.844
timesfm,1,2025-07-23,6,41171.3203125,39475.062,38167.027,40490.86
timesfm,1,2025-07-24,7,41826.33984375,39417.18,37990.71,40449.18
timesfm,1,2025-07-25,8,41456.23046875,39406.957,37878.906,40522.695
timesfm,1,2025-07-28,9,40998.26953125,39390.82,37825.453,40546.055
timesfm,1,2025-07-29,10,40674.55078125,39383.83,37715.133,40589.234
timesfm,1,2025-07-30,11,40654.69921875,39367.094,37662.984,40626.336
timesfm,1,2025-07-31,12,41069.8203125,39424.06,37625.21,40665.3
timesfm,1,2025-08-01,13,40799.6015625,39431.973,37598.164,40715.53
timesfm,1,2025-08-04,14,40290.69921875,39475.516,37545.438,40797.285
timesfm,1,2025-08-05,15,40549.5390625,39427.562,37425.41,40741.07
timesfm,1,2025-08-06,16,40794.859375,39407.14,37322.215,40757.895
timesfm,1,2025-08-07,17,41059.1484375,39407.633,37281.82,40798.566
timesfm,1,2025-08-08,18,41820.48046875,39437.062,37268.86,40832.12
timesfm,1,2025-08-12,19,42718.171875,39411.81,37129.605,40894.992
timesfm,1,2025-08-13,20,43274.671875,39427.75,37046.938,40907.227
timesfm,2,2025-07-30,1,40654.69921875,40585.547,39897.81,41362.664
timesfm,2,2025-07-31,2,41069.8203125,40592.773,39688.715,41596.656
timesfm,2,2025-08-01,3,40799.6015625,40530.21,39397.117,41672.633
timesfm,2,2025-08-04,4,40290.69921875,40533.105,39224.137,41822.38
timesfm,2,2025-08-05,5,40549.5390625,40523.14,39093.152,41922.05
timesfm,2,2025-08-06,6,40794.859375,40486.465,38900.38,41999.785
timesfm,2,2025-08-07,7,41059.1484375,40466.195,38694.633,41998.676
timesfm,2,2025-08-08,8,41820.48046875,40498.887,38607.11,42130.395
timesfm,2,2025-08-12,9,42718.171875,40481.867,38543.953,42155.652
timesfm,2,2025-08-13,10,43274.671875,40437.637,38362.094,42189.074
timesfm,2,2025-08-14,11,42649.26171875,40417.35,38287.156,42200.19
timesfm,2,2025-08-15,12,43378.30859375,40395.18,38123.445,42208.094
timesfm,2,2025-08-18,13,43714.30859375,40331.89,38093.652,42192.297
timesfm,2,2025-08-19,14,43546.2890625,40363.94,37980.54,42292.58
timesfm,2,2025-08-20,15,42888.55078125,40319.043,37845.88,42234.94
timesfm,2,2025-08-21,16,42610.171875,40324.965,37816.15,42311.47
timesfm,2,2025-08-22,17,42633.2890625,40345.695,37764.91,42368.75
timesfm,2,2025-08-25,18,42807.8203125,40358.06,37735.695,42407.027
timesfm,2,2025-08-26,19,42394.3984375,40323.574,37572.316,42495.727
timesfm,2,2025-08-27,20,42520.26953125,40327.54,37442.96,42514.33
timesfm,3,2025-08-14,1,42649.26171875,43253.914,42394.766,44191.83
timesfm,3,2025-08-15,2,43378.30859375,43179.664,41981.56,44460.51
timesfm,3,2025-08-18,3,43714.30859375,42977.082,41485.875,44486.152
timesfm,3,2025-08-19,4,43546.2890625,42854.758,41085.555,44608.977
timesfm,3,2025-08-20,5,42888.55078125,42720.88,40756.58,44599.13
timesfm,3,2025-08-21,6,42610.171875,42629.086,40432.047,44733.348
timesfm,3,2025-08-22,7,42633.2890625,42590.805,40176.14,44807.72
timesfm,3,2025-08-25,8,42807.8203125,42591.242,40058.53,44997.918
timesfm,3,2025-08-26,9,42394.3984375,42527.703,39962.19,45017.02
timesfm,3,2025-08-27,10,42520.26953125,42365.996,39652.145,44969.184
timesfm,3,2025-08-28,11,42828.7890625,42364.66,39606.574,45005.73
timesfm,3,2025-08-29,12,42718.46875,42313.46,39418.926,45049.555
timesfm,3,2025-09-01,13,42188.7890625,42141.848,39331.21,44924.402
timesfm,3,2025-09-02,14,42310.48828125,42066.75,39085.957,44964.867
timesfm,3,2025-09-03,15,41938.890625,41981.863,38903.316,44880.105
timesfm,3,2025-09-04,16,42580.26953125,41901.97,38813.676,44874.88
timesfm,3,2025-09-05,17,43018.75,41947.277,38791.496,44970.113
timesfm,3,2025-09-08,18,43643.80859375,41959.9,38749.824,45003.996
timesfm,3,2025-09-09,19,43459.2890625,41915.344,38540.715,45081.086
timesfm,3,2025-09-10,20,43837.671875,41929.582,38385.477,45176.832
timesfm,4,2025-08-28,1,42828.7890625,42573.902,41804.273,43319.75
timesfm,4,2025-08-29,2,42718.46875,42498.766,41503.66,43469.67
timesfm,4,2025-09-01,3,42188.7890625,42373.098,41137.434,43520.633
timesfm,4,2025-09-02,4,42310.48828125,42331.953,40875.688,43648.6
timesfm,4,2025-09-03,5,41938.890625,42249.965,40619.1,43678.03
timesfm,4,2025-09-04,6,42580.26953125,42234.984,40398.8,43815.805
timesfm,4,2025-09-05,7,43018.75,42207.31,40190.723,43881.715
timesfm,4,2025-09-08,8,43643.80859375,42233.4,40160.453,44035.25
timesfm,4,2025-09-09,9,43459.2890625,42279.723,40155.66,44140.484
timesfm,4,2025-09-10,10,43837.671875,42228.34,39992.4,44163.562
timesfm,4,2025-09-11,11,44372.5,42226.42,39895.027,44208.613
timesfm,4,2025-09-12,12,44768.12109375,42241.84,39824.758,44295.14
timesfm,4,2025-09-16,13,44902.26953125,42214.99,39834.42,44303.61
timesfm,4,2025-09-17,14,44790.37890625,42244.242,39711.53,44434.203
timesfm,4,2025-09-18,15,45303.4296875,42201.41,39534.79,44398.516
timesfm,4,2025-09-19,16,45045.80859375,42174.836,39464.883,44437.492
timesfm,4,2025-09-22,17,45493.66015625,42074.34,39270.875,44415.6
timesfm,4,2025-09-24,18,45630.30859375,42061.55,39192.438,44448.273
timesfm,4,2025-09-25,19,45754.9296875,41999.023,38928.82,44526.383
timesfm,4,2025-09-26,20,45354.98828125,41922.953,38706.1,44504.29
timesfm,5,2025-09-11,1,44372.5,43911.047,43153.785,44583.16
timesfm,5,2025-09-12,2,44768.12109375,43941.758,43003.35,44754.773
timesfm,5,2025-09-16,3,44902.26953125,43962.85,42852.832,44921.742
timesfm,5,2025-09-17,4,44790.37890625,43987.87,42711.51,45066.8
timesfm,5,2025-09-18,5,45303.4296875,43938.28,42495.76,45055.4
timesfm,5,2025-09-19,6,45045.80859375,43875.902,42309.402,45127.207
timesfm,5,2025-09-22,7,45493.66015625,43854.234,42122.31,45182.637
timesfm,5,2025-09-24,8,45630.30859375,43799.715,41965.79,45278.594
timesfm,5,2025-09-25,9,45754.9296875,43783.836,41917.086,45280.742
timesfm,5,2025-09-26,10,45354.98828125,43698.633,41725.215,45262.977
timesfm,5,2025-09-29,11,45043.75,43610.19,41572.04,45221.234
timesfm,5,2025-09-30,12,44932.62890625,43549.94,41424.223,45265.61
timesfm,5,2025-10-01,13,44550.8515625,43475.457,41401.656,45219.055
timesfm,5,2025-10-02,14,44936.73046875,43437.598,41256.26,45306.23
timesfm,5,2025-10-03,15,45769.5,43444.92,41098.14,45310.96
timesfm,5,2025-10-06,16,47944.76171875,43422.637,41051.59,45367.33
timesfm,5,2025-10-07,17,47950.87890625,43387.645,40930.664,45392.406
timesfm,5,2025-10-08,18,47734.98828125,43358.074,40838.04,45372.312
timesfm,5,2025-10-09,19,48580.44140625,43359.66,40616.055,45462.816
timesfm,5,2025-10-10,20,48088.80078125,43333.78,40389.07,45447.285
timesfm,6,2025-09-29,1,45043.75,45398.938,44743.816,45998.89
timesfm,6,2025-09-30,2,44932.62890625,45318.523,44452.367,46102.383
timesfm,6,2025-10-01,3,44550.8515625,45265.984,44170.66,46205.38
timesfm,6,2025-10-02,4,44936.73046875,45230.477,43922.73,46339.11
timesfm,6,2025-10-03,5,45769.5,45207.65,43715.25,46367.977
timesfm,6,2025-10-06,6,47944.76171875,45135.457,43476.363,46424.016
timesfm,6,2025-10-07,7,47950.87890625,45083.883,43254.824,46473.47
timesfm,6,2025-10-08,8,47734.98828125,45058.79,43120.52,46630.73
timesfm,6,2025-10-09,9,48580.44140625,45035.0,43063.24,46556.242
timesfm,6,2025-10-10,10,48088.80078125,44971.695,42880.137,46560.414
timesfm,6,2025-10-14,11,46847.3203125,44939.234,42742.363,46516.207
timesfm,6,2025-10-15,12,47672.671875,44926.766,42586.5,46638.78
timesfm,6,2025-10-16,13,48277.73828125,44904.7,42633.574,46659.375
timesfm,6,2025-10-17,14,47582.1484375,44897.438,42498.914,46771.62
timesfm,6,2025-10-20,15,49185.5,44938.5,42371.53,46811.504
timesfm,6,2025-10-21,16,49316.05859375,44979.34,42395.41,46956.21
timesfm,6,2025-10-22,17,49307.7890625,45037.254,42372.35,47080.23
timesfm,6,2025-10-23,18,48641.609375,45003.195,42274.895,47058.15
timesfm,6,2025-10-24,19,49299.6484375,45005.223,42045.17,47168.098
timesfm,6,2025-10-27,20,50512.3203125,44917.25,41691.438,47043.754
timesfm,7,2025-10-14,1,46847.3203125,48102.33,47127.652,49001.914
timesfm,7,2025-10-15,2,47672.671875,47923.46,46629.914,49177.996
timesfm,7,2025-10-16,3,48277.73828125,47775.004,46178.125,49262.87
timesfm,7,2025-10-17,4,47582.1484375,47670.664,45790.04,49403.742
timesfm,7,2025-10-20,5,49185.5,47593.227,45401.555,49396.86
timesfm,7,2025-10-21,6,49316.05859375,47543.234,45172.953,49497.492
timesfm,7,2025-10-22,7,49307.7890625,47547.996,44867.61,49579.22
timesfm,7,2025-10-23,8,48641.609375,47527.53,44652.117,49731.613
timesfm,7,2025-10-24,9,49299.6484375,47513.617,44586.316,49729.656
timesfm,7,2025-10-27,10,50512.3203125,47440.18,44399.82,49766.67
timesfm,7,2025-10-28,11,50219.1796875,47321.938,44097.598,49590.004
timesfm,7,2025-10-29,12,51307.6484375,47263.516,43809.035,49739.453
timesfm,7,2025-10-30,13,51325.609375,47199.773,43827.13,49708.49
timesfm,7,2025-10-31,14,52411.33984375,47175.61,43627.633,49962.855
timesfm,7,2025-11-04,15,51497.19921875,47185.07,43371.96,49887.4
timesfm,7,2025-11-05,16,50212.26953125,47156.07,43327.188,50008.996
timesfm,7,2025-11-06,17,50883.6796875,47187.82,43226.188,50112.465
timesfm,7,2025-11-07,18,50276.37109375,47129.527,43114.605,50086.19
timesfm,7,2025-11-10,19,50911.76171875,47125.78,42868.875,50212.54
timesfm,7,2025-11-11,20,50842.9296875,46982.38,42397.992,50048.688
timesfm,8,2025-10-28,1,50219.1796875,50381.625,49154.164,51429.71
timesfm,8,2025-10-29,2,51307.6484375,50286.22,48893.773,51629.582
timesfm,8,2025-10-30,3,51325.609375,50234.4,48696.64,51724.734
timesfm,8,2025-10-31,4,52411.33984375,50252.36,48572.203,51943.805
timesfm,8,2025-11-04,5,51497.19921875,50153.992,48271.062,51812.92
timesfm,8,2025-11-05,6,50212.26953125,50075.1,48064.7,51847.93
timesfm,8,2025-11-06,7,50883.6796875,50119.688,47916.14,51874.234
timesfm,8,2025-11-07,8,50276.37109375,50016.61,47595.875,51891.33
timesfm,8,2025-11-10,9,50911.76171875,49998.633,47686.285,51830.57
timesfm,8,2025-11-11,10,50842.9296875,49884.61,47545.855,51804.535
timesfm,8,2025-11-12,11,51063.30859375,49843.86,47420.812,51773.855
timesfm,8,2025-11-13,12,51281.828125,49782.26,47073.15,51886.35
timesfm,8,2025-11-14,13,50376.53125,49700.54,47128.652,51780.57
timesfm,8,2025-11-17,14,50323.91015625,49721.652,46965.406,52024.707
timesfm,8,2025-11-18,15,48702.98046875,49838.977,46903.977,52098.016
timesfm,8,2025-11-19,16,48537.69921875,49842.344,46844.008,52229.46
timesfm,8,2025-11-20,17,49823.94140625,49933.42,46760.234,52401.29
timesfm,8,2025-11-21,18,48625.87890625,49933.746,46655.867,52395.367
timesfm,8,2025-11-25,19,48659.51953125,49943.44,46382.406,52516.906
timesfm,8,2025-11-26,20,49559.0703125,49874.273,46016.53,52443.652
timesfm,9,2025-11-12,1,51063.30859375,50839.223,49634.43,51781.21
timesfm,9,2025-11-13,2,51281.828125,50717.395,49345.246,51907.758
timesfm,9,2025-11-14,3,50376.53125,50711.586,49079.914,52059.574
timesfm,9,2025-11-17,4,50323.91015625,50745.52,48961.4,52263.75
timesfm,9,2025-11-18,5,48702.98046875,50746.953,48770.617,52220.734
timesfm,9,2025-11-19,6,48537.69921875,50728.3,48702.69,52326.336
timesfm,9,2025-11-20,7,49823.94140625,50898.508,48672.97,52517.84
timesfm,9,2025-11-21,8,48625.87890625,50829.73,48371.008,52509.26
timesfm,9,2025-11-25,9,48659.51953125,50952.164,48532.79,52570.324
timesfm,9,2025-11-26,10,49559.0703125,50860.11,48377.297,52596.27
timesfm,9,2025-11-27,11,50167.1015625,50964.43,48327.016,52739.516
timesfm,9,2025-11-28,12,50253.91015625,51016.13,48065.16,52863.727
timesfm,9,2025-12-01,13,49303.28125,51045.387,48197.426,52883.28
timesfm,9,2025-12-02,14,49303.44921875,51002.645,47965.195,53102.254
timesfm,9,2025-12-03,15,49864.6796875,51099.65,47855.99,53199.695
timesfm,9,2025-12-04,16,51028.421875,51112.094,47717.06,53299.348
timesfm,9,2025-12-05,17,50491.87109375,51225.004,47634.402,53494.438
timesfm,9,2025-12-08,18,50581.94140625,51294.6,47544.37,53596.47
timesfm,9,2025-12-09,19,50655.1015625,51225.39,47104.72,53663.07
timesfm,9,2025-12-10,20,50602.80078125,51185.72,46824.22,53658.457
timesfm,10,2025-11-27,1,50167.1015625,49750.75,48492.312,50786.977
timesfm,10,2025-11-28,2,50253.91015625,49718.984,48206.12,51004.84
timesfm,10,2025-12-01,3,49303.28125,49742.094,48007.734,51226.867
timesfm,10,2025-12-02,4,49303.44921875,49760.34,47819.26,51394.508
timesfm,10,2025-12-03,5,49864.6796875,49756.1,47604.4,51426.43
timesfm,10,2025-12-04,6,51028.421875,49752.344,47473.285,51547.383
timesfm,10,2025-12-05,7,50491.87109375,49898.855,47432.473,51767.61
timesfm,10,2025-12-08,8,50581.94140625,49779.81,47052.19,51803.168
timesfm,10,2025-12-09,9,50655.1015625,49892.46,47192.56,51861.27
timesfm,10,2025-12-10,10,50602.80078125,49814.83,47099.78,51998.594
timesfm,10,2025-12-11,11,50148.8203125,49843.047,46927.594,51996.426
timesfm,10,2025-12-12,12,50836.55078125,49892.086,46656.125,52151.57
timesfm,10,2025-12-15,13,50168.109375,50012.625,46884.5,52318.715
timesfm,10,2025-12-16,14,49383.2890625,50026.62,46585.88,52495.184
timesfm,10,2025-12-17,15,49512.28125,50133.438,46513.727,52540.48
timesfm,10,2025-12-18,16,49001.5,49995.055,46185.742,52465.926
timesfm,10,2025-12-19,17,49507.2109375,50192.88,46229.71,52754.008
timesfm,10,2025-12-22,18,50402.390625,50278.684,46130.484,52815.027
timesfm,10,2025-12-23,19,50412.87109375,50198.55,45669.5,52896.023
timesfm,10,2025-12-24,20,50344.1015625,50228.88,45533.91,53003.695
timesfm,11,2025-12-11,1,50148.8203125,50738.953,49807.63,51554.18
timesfm,11,2025-12-12,2,50836.55078125,50645.91,49459.45,51639.656
timesfm,11,2025-12-15,3,50168.109375,50648.95,49319.11,51811.875
timesfm,11,2025-12-16,4,49383.2890625,50830.63,49381.19,52167.023
timesfm,11,2025-12-17,5,49512.28125,50809.473,49117.633,52132.375
timesfm,11,2025-12-18,6,49001.5,50844.164,49036.902,52279.15
timesfm,11,2025-12-19,7,49507.2109375,50954.242,48989.418,52482.258
timesfm,11,2025-12-22,8,50402.390625,50880.96,48622.617,52532.457
timesfm,11,2025-12-23,9,50412.87109375,50850.61,48627.906,52481.34
timesfm,11,2025-12-24,10,50344.1015625,50875.855,48625.023,52748.902
timesfm,11,2025-12-25,11,50407.7890625,50941.953,48621.23,52731.613
timesfm,11,2025-12-26,12,50750.390625,50889.29,48281.71,52844.11
timesfm,11,2025-12-29,13,50526.921875,50967.42,48474.008,52879.305
timesfm,11,2025-12-30,14,50339.48046875,50994.945,48334.137,52989.918
timesfm,11,2026-01-05,15,51832.80078125,51159.664,48358.156,53157.145
timesfm,11,2026-01-06,16,52518.078125,51058.656,48143.332,53119.773
timesfm,11,2026-01-07,17,51961.98046875,51282.57,48249.64,53464.5
timesfm,11,2026-01-08,18,51117.26171875,51275.438,48194.324,53467.555
timesfm,11,2026-01-09,19,51939.890625,51400.64,47942.812,53698.46
timesfm,11,2026-01-13,20,53549.16015625,51341.227,47740.188,53662.16
timesfm,12,2025-12-25,1,50407.7890625,50271.53,49389.48,51035.137
timesfm,12,2025-12-26,2,50750.390625,50239.125,49086.066,51224.242
timesfm,12,2025-12-29,3,50526.921875,50312.64,48851.336,51503.41
timesfm,12,2025-12-30,4,50339.48046875,50420.42,48788.93,51756.863
timesfm,12,2026-01-05,5,51832.80078125,50293.586,48449.918,51721.42
timesfm,12,2026-01-06,6,52518.078125,50339.33,48379.875,51874.484
timesfm,12,2026-01-07,7,51961.98046875,50454.277,48326.33,52063.605
timesfm,12,2026-01-08,8,51117.26171875,50348.6,48020.21,52009.953
timesfm,12,2026-01-09,9,51939.890625,50432.086,48094.203,52171.86
timesfm,12,2026-01-13,10,53549.16015625,50314.27,47902.45,52246.188
timesfm,12,2026-01-14,11,54341.23046875,50406.0,47920.883,52343.156
timesfm,12,2026-01-15,12,54110.5,50398.195,47746.906,52406.273
timesfm,12,2026-01-16,13,53936.171875,50314.31,47709.74,52291.3
timesfm,12,2026-01-19,14,53583.5703125,50281.047,47583.227,52306.754
timesfm,12,2026-01-20,15,52991.1015625,50379.348,47596.18,52538.086
timesfm,12,2026-01-21,16,52774.640625,50284.65,47449.164,52553.812
timesfm,12,2026-01-22,17,53688.890625,50267.785,47268.32,52726.848
