model,window_id,target_date,step_ahead,actual_close,pred_close,pred_q10,pred_q90
itransformer,0,2025-07-01,1,6198.009765625,6010.963,,
itransformer,0,2025-07-02,2,6227.419921875,6057.0103,,
itransformer,0,2025-07-03,3,6279.35009765625,5946.0234,,
itransformer,0,2025-07-07,4,6229.97998046875,5980.2925,,
itransformer,0,2025-07-08,5,6225.52001953125,5942.0127,,
itransformer,0,2025-07-09,6,6263.259765625,6009.2705,,
itransformer,0,2025-07-10,7,6280.4599609375,5951.7646,,
itransformer,0,2025-07-11,8,6259.75,5964.588,,
itransformer,0,2025-07-14,9,6268.56005859375,5950.7188,,
itransformer,0,2025-07-15,10,6243.759765625,5971.9575,,
itransformer,0,2025-07-16,11,6263.7001953125,5929.3027,,
itransformer,0,2025-07-17,12,6297.35986328125,5937.725,,
itransformer,0,2025-07-18,13,6296.7900390625,5904.085,,
itransformer,0,2025-07-21,14,6305.60009765625,5924.16,,
itransformer,0,2025-07-22,15,6309.6201171875,5926.8867,,
itransformer,0,2025-07-23,16,6358.91015625,5830.7144,,
itransformer,0,2025-07-24,17,6363.35009765625,5952.7705,,
itransformer,0,2025-07-25,18,6388.64013671875,5865.632,,
itransformer,0,2025-07-28,19,6389.77001953125,5898.134,,
itransformer,0,2025-07-29,20,6370.85986328125,6028.6914,,
itransformer,1,2025-07-16,1,6263.7001953125,6177.502,,
itransformer,1,2025-07-17,2,6297.35986328125,6164.5967,,
itransformer,1,2025-07-18,3,6296.7900390625,6103.801,,
itransformer,1,2025-07-21,4,6305.60009765625,6107.628,,
itransformer,1,2025-07-22,5,6309.6201171875,6158.726,,
itransformer,1,2025-07-23,6,6358.91015625,6176.17,,
itransformer,1,2025-07-24,7,6363.35009765625,6062.465,,
itransformer,1,2025-07-25,8,6388.64013671875,6163.176,,
itransformer,1,2025-07-28,9,6389.77001953125,6049.6846,,
itransformer,1,2025-07-29,10,6370.85986328125,6041.8643,,
itransformer,1,2025-07-30,11,6362.89990234375,6066.5195,,
itransformer,1,2025-07-31,12,6339.39013671875,6014.952,,
itransformer,1,2025-08-01,13,6238.009765625,6061.2646,,
itransformer,1,2025-08-04,14,6329.93994140625,6070.4775,,
itransformer,1,2025-08-05,15,6299.18994140625,6102.9824,,
itransformer,1,2025-08-06,16,6345.06005859375,6061.0635,,
itransformer,1,2025-08-07,17,6340.0,6074.9053,,
itransformer,1,2025-08-08,18,6389.4501953125,6094.103,,
itransformer,1,2025-08-11,19,6373.4501953125,6052.217,,
itransformer,1,2025-08-12,20,6445.759765625,6125.4854,,
itransformer,2,2025-07-30,1,6362.89990234375,6391.237,,
itransformer,2,2025-07-31,2,6339.39013671875,6336.589,,
itransformer,2,2025-08-01,3,6238.009765625,6251.761,,
itransformer,2,2025-08-04,4,6329.93994140625,6403.2666,,
itransformer,2,2025-08-05,5,6299.18994140625,6281.283,,
itransformer,2,2025-08-06,6,6345.06005859375,6295.4844,,
itransformer,2,2025-08-07,7,6340.0,6100.759,,
itransformer,2,2025-08-08,8,6389.4501953125,6288.378,,
itransformer,2,2025-08-11,9,6373.4501953125,6303.372,,
itransformer,2,2025-08-12,10,6445.759765625,6191.9023,,
itransformer,2,2025-08-13,11,6466.580078125,6187.379,,
itransformer,2,2025-08-14,12,6468.5400390625,6296.6055,,
itransformer,2,2025-08-15,13,6449.7998046875,6210.8564,,
itransformer,2,2025-08-18,14,6449.14990234375,6273.7993,,
itransformer,2,2025-08-19,15,6411.3701171875,6283.5913,,
itransformer,2,2025-08-20,16,6395.77978515625,6194.4,,
itransformer,2,2025-08-21,17,6370.169921875,6261.1543,,
itransformer,2,2025-08-22,18,6466.91015625,6242.835,,
itransformer,2,2025-08-25,19,6439.31982421875,6164.1357,,
itransformer,2,2025-08-26,20,6465.93994140625,6364.501,,
itransformer,3,2025-08-13,1,6466.580078125,6395.495,,
itransformer,3,2025-08-14,2,6468.5400390625,6321.037,,
itransformer,3,2025-08-15,3,6449.7998046875,6302.366,,
itransformer,3,2025-08-18,4,6449.14990234375,6318.0205,,
itransformer,3,2025-08-19,5,6411.3701171875,6340.1494,,
itransformer,3,2025-08-20,6,6395.77978515625,6409.97,,
itransformer,3,2025-08-21,7,6370.169921875,6315.5957,,
itransformer,3,2025-08-22,8,6466.91015625,6393.0317,,
itransformer,3,2025-08-25,9,6439.31982421875,6368.3525,,
itransformer,3,2025-08-26,10,6465.93994140625,6293.354,,
itransformer,3,2025-08-27,11,6481.39990234375,6337.991,,
itransformer,3,2025-08-28,12,6501.85986328125,6303.3545,,
itransformer,3,2025-08-29,13,6460.259765625,6249.503,,
itransformer,3,2025-09-02,14,6415.5400390625,6257.5825,,
itransformer,3,2025-09-03,15,6448.259765625,6358.5903,,
itransformer,3,2025-09-04,16,6502.080078125,6264.818,,
itransformer,3,2025-09-05,17,6481.5,6307.083,,
itransformer,3,2025-09-08,18,6495.14990234375,6345.297,,
itransformer,3,2025-09-09,19,6512.60986328125,6232.952,,
itransformer,3,2025-09-10,20,6532.0400390625,6368.6294,,
itransformer,4,2025-08-27,1,6481.39990234375,6429.392,,
itransformer,4,2025-08-28,2,6501.85986328125,6423.587,,
itransformer,4,2025-08-29,3,6460.259765625,6409.26,,
