model,window_id,target_date,step_ahead,actual_close,pred_close,pred_q10,pred_q90
lag-llama_finetuned,0,2025-07-01,1,6198.009765625,6090.8354,5955.43642578125,6251.877978515625
lag-llama_finetuned,0,2025-07-02,2,6227.419921875,6017.9995,5872.779296875,6161.81240234375
lag-llama_finetuned,0,2025-07-03,3,6279.35009765625,5974.9214,5817.1005859375,6111.560009765625
lag-llama_finetuned,0,2025-07-07,4,6229.97998046875,5942.108,5753.78408203125,6085.323095703125
lag-llama_finetuned,0,2025-07-08,5,6225.52001953125,5919.166,5677.587548828125,6107.074609375
lag-llama_finetuned,0,2025-07-09,6,6263.259765625,5909.962,5741.871142578125,6095.027587890625
lag-llama_finetuned,0,2025-07-10,7,6280.4599609375,5883.422,5738.9673828125,6036.052978515625
lag-llama_finetuned,0,2025-07-11,8,6259.75,5865.984,5710.337109375,6036.71923828125
lag-llama_finetuned,0,2025-07-14,9,6268.56005859375,5873.303,5702.93408203125,6025.06396484375
lag-llama_finetuned,0,2025-07-15,10,6243.759765625,5891.844,5699.674365234375,6065.705224609375
lag-llama_finetuned,0,2025-07-16,11,6263.7001953125,5893.418,5702.9244140625,6053.71181640625
lag-llama_finetuned,0,2025-07-17,12,6297.35986328125,5893.535,5752.87333984375,6052.525927734375
lag-llama_finetuned,0,2025-07-18,13,6296.7900390625,5855.984,5663.014013671875,6024.974218750001
lag-llama_finetuned,0,2025-07-21,14,6305.60009765625,5819.573,5657.513330078125,5978.6857421875
lag-llama_finetuned,0,2025-07-22,15,6309.6201171875,5818.166,5688.436767578125,5966.41884765625
lag-llama_finetuned,0,2025-07-23,16,6358.91015625,5821.55,5697.243408203125,5955.920556640625
lag-llama_finetuned,0,2025-07-24,17,6363.35009765625,5834.908,5683.521435546875,5953.927197265625
lag-llama_finetuned,0,2025-07-25,18,6388.64013671875,5810.984,5655.06416015625,5967.15263671875
lag-llama_finetuned,0,2025-07-28,19,6389.77001953125,5799.7793,5668.628662109375,5918.5419921875
lag-llama_finetuned,0,2025-07-29,20,6370.85986328125,5796.983,5690.51494140625,5922.0890625
lag-llama_finetuned,1,2025-07-16,1,6263.7001953125,6141.4746,6036.511572265625,6248.77236328125
lag-llama_finetuned,1,2025-07-17,2,6297.35986328125,6067.1245,5919.8134765625,6216.399267578125
lag-llama_finetuned,1,2025-07-18,3,6296.7900390625,6007.717,5827.996142578125,6175.322851562501
lag-llama_finetuned,1,2025-07-21,4,6305.60009765625,5951.2876,5785.069580078125,6099.197412109375
lag-llama_finetuned,1,2025-07-22,5,6309.6201171875,5933.041,5792.40009765625,6072.08623046875
lag-llama_finetuned,1,2025-07-23,6,6358.91015625,5914.1177,5743.023046875,6091.744970703125
lag-llama_finetuned,1,2025-07-24,7,6363.35009765625,5921.814,5788.627392578125,6105.356298828125
lag-llama_finetuned,1,2025-07-25,8,6388.64013671875,5903.6177,5743.6990234375,6082.338232421875
lag-llama_finetuned,1,2025-07-28,9,6389.77001953125,5870.1934,5717.614404296875,6041.43662109375
lag-llama_finetuned,1,2025-07-29,10,6370.85986328125,5869.5464,5724.827294921875,6039.51376953125
lag-llama_finetuned,1,2025-07-30,11,6362.89990234375,5861.7427,5671.737890625,6009.00341796875
lag-llama_finetuned,1,2025-07-31,12,6339.39013671875,5869.7114,5698.2953125,6032.32001953125
lag-llama_finetuned,1,2025-08-01,13,6238.009765625,5862.209,5696.419580078125,6018.621337890625
lag-llama_finetuned,1,2025-08-04,14,6329.93994140625,5857.4927,5695.057861328125,6008.8873046875
lag-llama_finetuned,1,2025-08-05,15,6299.18994140625,5833.779,5703.2751953125,6000.807861328125
lag-llama_finetuned,1,2025-08-06,16,6345.06005859375,5826.523,5684.44111328125,5978.79541015625
lag-llama_finetuned,1,2025-08-07,17,6340.0,5828.791,5695.834130859375,5971.313427734375
lag-llama_finetuned,1,2025-08-08,18,6389.4501953125,5816.767,5693.888525390625,5946.08720703125
lag-llama_finetuned,1,2025-08-11,19,6373.4501953125,5832.0205,5697.13671875,6002.0966796875
lag-llama_finetuned,1,2025-08-12,20,6445.759765625,5829.518,5656.30107421875,6017.687158203125
lag-llama_finetuned,2,2025-07-30,1,6362.89990234375,6167.666,6042.6685546875,6309.661083984375
lag-llama_finetuned,2,2025-07-31,2,6339.39013671875,6035.244,5876.938427734375,6210.113525390625
lag-llama_finetuned,2,2025-08-01,3,6238.009765625,5991.9956,5840.546728515625,6143.728369140625
lag-llama_finetuned,2,2025-08-04,4,6329.93994140625,5951.3975,5811.425146484375,6119.743896484375
lag-llama_finetuned,2,2025-08-05,5,6299.18994140625,5949.902,5782.319482421875,6110.69873046875
lag-llama_finetuned,2,2025-08-06,6,6345.06005859375,5935.45,5774.90546875,6115.75439453125
lag-llama_finetuned,2,2025-08-07,7,6340.0,5937.9863,5779.57685546875,6067.53388671875
lag-llama_finetuned,2,2025-08-08,8,6389.4501953125,5933.6787,5768.3125,6097.870751953125
lag-llama_finetuned,2,2025-08-11,9,6373.4501953125,5934.3276,5768.170947265625,6114.08173828125
lag-llama_finetuned,2,2025-08-12,10,6445.759765625,5917.7793,5778.1623046875,6076.702099609375
lag-llama_finetuned,2,2025-08-13,11,6466.580078125,5897.984,5741.7755859375,6053.849853515625
lag-llama_finetuned,2,2025-08-14,12,6468.5400390625,5882.839,5756.35224609375,6022.44599609375
lag-llama_finetuned,2,2025-08-15,13,6449.7998046875,5864.156,5723.94462890625,6012.082128906251
lag-llama_finetuned,2,2025-08-18,14,6449.14990234375,5870.073,5721.543115234375,6017.761572265626
lag-llama_finetuned,2,2025-08-19,15,6411.3701171875,5862.169,5709.95234375,6039.294873046875
lag-llama_finetuned,2,2025-08-20,16,6395.77978515625,5813.759,5669.7955078125,5952.36123046875
lag-llama_finetuned,2,2025-08-21,17,6370.169921875,5797.357,5660.062841796875,5953.302001953125
lag-llama_finetuned,2,2025-08-22,18,6466.91015625,5777.0576,5635.382666015625,5913.667236328125
lag-llama_finetuned,2,2025-08-25,19,6439.31982421875,5780.4507,5655.643359375,5902.014404296875
lag-llama_finetuned,2,2025-08-26,20,6465.93994140625,5799.7764,5647.0150390625,5924.949072265625
lag-llama_finetuned,3,2025-08-13,1,6466.580078125,6259.6533,6132.27255859375,6380.229638671875
lag-llama_finetuned,3,2025-08-14,2,6468.5400390625,6105.415,5943.1017578125,6260.2033203125
lag-llama_finetuned,3,2025-08-15,3,6449.7998046875,6014.556,5876.098046875,6176.837548828125
lag-llama_finetuned,3,2025-08-18,4,6449.14990234375,5964.005,5816.758544921875,6103.444433593751
lag-llama_finetuned,3,2025-08-19,5,6411.3701171875,5947.4517,5779.470751953125,6131.275048828125
lag-llama_finetuned,3,2025-08-20,6,6395.77978515625,5935.757,5789.4513671875,6111.63525390625
lag-llama_finetuned,3,2025-08-21,7,6370.169921875,5896.7236,5730.887060546875,6094.65546875
lag-llama_finetuned,3,2025-08-22,8,6466.91015625,5842.22,5658.8087890625,5966.8685546875
lag-llama_finetuned,3,2025-08-25,9,6439.31982421875,5864.108,5738.985595703125,5993.59248046875
lag-llama_finetuned,3,2025-08-26,10,6465.93994140625,5881.0117,5751.6396484375,6012.311572265625
lag-llama_finetuned,3,2025-08-27,11,6481.39990234375,5874.4126,5704.305517578125,6031.668115234375
lag-llama_finetuned,3,2025-08-28,12,6501.85986328125,5882.2256,5738.2380859375,6034.6107421875
lag-llama_finetuned,3,2025-08-29,13,6460.259765625,5875.27,5736.047607421875,6001.15166015625
lag-llama_finetuned,3,2025-09-02,14,6415.5400390625,5856.1636,5698.326904296875,6007.57783203125
lag-llama_finetuned,3,2025-09-03,15,6448.259765625,5859.502,5697.539599609375,6018.50078125
lag-llama_finetuned,3,2025-09-04,16,6502.080078125,5834.118,5696.802099609375,5962.256787109375
lag-llama_finetuned,3,2025-09-05,17,6481.5,5807.745,5682.8390625,5933.5146484375
lag-llama_finetuned,3,2025-09-08,18,6495.14990234375,5842.05,5726.143701171875,6004.632421875
lag-llama_finetuned,3,2025-09-09,19,6512.60986328125,5813.9014,5689.3109375,5965.283544921875
