model,window_id,target_date,step_ahead,actual_close,pred_close,pred_q10,pred_q90
lag-llama,0,2025-07-01,1,6198.009765625,6009.496,5883.553955078125,6173.092724609375
lag-llama,0,2025-07-02,2,6227.419921875,5902.1704,5713.27333984375,6105.25068359375
lag-llama,0,2025-07-03,3,6279.35009765625,5856.3994,5625.94521484375,6084.78642578125
lag-llama,0,2025-07-07,4,6229.97998046875,5816.6055,5635.55458984375,6023.96513671875
lag-llama,0,2025-07-08,5,6225.52001953125,5789.2954,5587.540771484375,5968.553808593751
lag-llama,0,2025-07-09,6,6263.259765625,5793.58,5623.76591796875,5959.10205078125
lag-llama,0,2025-07-10,7,6280.4599609375,5787.5005,5634.39912109375,5943.656640625
lag-llama,0,2025-07-11,8,6259.75,5766.4746,5583.17099609375,5929.611767578125
lag-llama,0,2025-07-14,9,6268.56005859375,5755.4863,5559.3947265625,5913.611474609375
lag-llama,0,2025-07-15,10,6243.759765625,5743.5225,5544.195556640625,5975.83271484375
lag-llama,0,2025-07-16,11,6263.7001953125,5750.1694,5584.157666015625,5907.572412109375
lag-llama,0,2025-07-17,12,6297.35986328125,5750.388,5560.035009765625,5939.3392578125
lag-llama,0,2025-07-18,13,6296.7900390625,5755.773,5570.8861328125,5938.243505859375
lag-llama,0,2025-07-21,14,6305.60009765625,5726.8906,5529.788916015625,5939.305859375
lag-llama,0,2025-07-22,15,6309.6201171875,5699.4927,5520.29365234375,5916.11982421875
lag-llama,0,2025-07-23,16,6358.91015625,5690.545,5499.94365234375,5856.638037109375
lag-llama,0,2025-07-24,17,6363.35009765625,5682.6406,5498.405322265625,5842.839794921875
lag-llama,0,2025-07-25,18,6388.64013671875,5664.36,5448.172998046875,5863.126416015625
lag-llama,0,2025-07-28,19,6389.77001953125,5644.5244,5412.03017578125,5850.73857421875
lag-llama,0,2025-07-29,20,6370.85986328125,5660.661,5460.4908203125,5848.9900390625
lag-llama,1,2025-07-16,1,6263.7001953125,6071.1274,5909.35556640625,6235.3634765625
lag-llama,1,2025-07-17,2,6297.35986328125,5975.9395,5810.254296875,6178.719677734375
lag-llama,1,2025-07-18,3,6296.7900390625,5912.9736,5725.0259765625,6129.27939453125
lag-llama,1,2025-07-21,4,6305.60009765625,5864.417,5624.79833984375,6086.841162109376
lag-llama,1,2025-07-22,5,6309.6201171875,5834.834,5599.941748046875,6071.592822265625
lag-llama,1,2025-07-23,6,6358.91015625,5821.8086,5631.926708984375,6017.344091796875
lag-llama,1,2025-07-24,7,6363.35009765625,5806.6533,5600.20341796875,5997.143359375001
lag-llama,1,2025-07-25,8,6388.64013671875,5792.4746,5612.096142578125,5959.96806640625
lag-llama,1,2025-07-28,9,6389.77001953125,5766.63,5573.8802734375,5958.46064453125
lag-llama,1,2025-07-29,10,6370.85986328125,5752.1367,5500.706201171875,5975.795849609375
lag-llama,1,2025-07-30,11,6362.89990234375,5722.5454,5517.94140625,5897.74189453125
lag-llama,1,2025-07-31,12,6339.39013671875,5739.9736,5549.75146484375,5901.928076171875
lag-llama,1,2025-08-01,13,6238.009765625,5738.55,5559.95869140625,5926.540234375
lag-llama,1,2025-08-04,14,6329.93994140625,5725.675,5542.293896484375,5928.03369140625
lag-llama,1,2025-08-05,15,6299.18994140625,5722.5005,5544.8130859375,5913.135205078125
lag-llama,1,2025-08-06,16,6345.06005859375,5717.411,5541.087060546875,5902.258935546875
lag-llama,1,2025-08-07,17,6340.0,5717.408,5524.13359375,5926.434179687501
lag-llama,1,2025-08-08,18,6389.4501953125,5684.2217,5452.32236328125,5861.757470703125
lag-llama,1,2025-08-11,19,6373.4501953125,5674.744,5450.426513671875,5872.1669921875
lag-llama,1,2025-08-12,20,6445.759765625,5671.9346,5488.94619140625,5863.06435546875
lag-llama,2,2025-07-30,1,6362.89990234375,6143.424,5991.722607421875,6276.03544921875
lag-llama,2,2025-07-31,2,6339.39013671875,5983.2207,5767.950244140625,6169.8984375
lag-llama,2,2025-08-01,3,6238.009765625,5928.188,5738.76142578125,6122.58671875
