model,window_id,target_date,step_ahead,actual_close,pred_close,pred_q10,pred_q90
timesfm_finetuned,0,2025-07-01,1,6198.009765625,6208.0,6112.0,6304.0
timesfm_finetuned,0,2025-07-02,2,6227.419921875,6208.0,6080.0,6336.0
timesfm_finetuned,0,2025-07-03,3,6279.35009765625,6208.0,6080.0,6336.0
timesfm_finetuned,0,2025-07-07,4,6229.97998046875,6208.0,6048.0,6368.0
timesfm_finetuned,0,2025-07-08,5,6225.52001953125,6208.0,6048.0,6368.0
timesfm_finetuned,0,2025-07-09,6,6263.259765625,6208.0,6016.0,6368.0
timesfm_finetuned,0,2025-07-10,7,6280.4599609375,6208.0,6016.0,6368.0
timesfm_finetuned,0,2025-07-11,8,6259.75,6208.0,5984.0,6368.0
timesfm_finetuned,0,2025-07-14,9,6268.56005859375,6208.0,6016.0,6368.0
timesfm_finetuned,0,2025-07-15,10,6243.759765625,6208.0,5984.0,6400.0
timesfm_finetuned,0,2025-07-16,11,6263.7001953125,6208.0,5984.0,6400.0
timesfm_finetuned,0,2025-07-17,12,6297.35986328125,6208.0,5952.0,6400.0
timesfm_finetuned,0,2025-07-18,13,6296.7900390625,6208.0,5952.0,6400.0
timesfm_finetuned,0,2025-07-21,14,6305.60009765625,6176.0,5920.0,6368.0
timesfm_finetuned,0,2025-07-22,15,6309.6201171875,6176.0,5920.0,6368.0
timesfm_finetuned,0,2025-07-23,16,6358.91015625,6176.0,5920.0,6368.0
timesfm_finetuned,0,2025-07-24,17,6363.35009765625,6208.0,5920.0,6400.0
timesfm_finetuned,0,2025-07-25,18,6388.64013671875,6176.0,5920.0,6368.0
timesfm_finetuned,0,2025-07-28,19,6389.77001953125,6176.0,5920.0,6400.0
timesfm_finetuned,0,2025-07-29,20,6370.85986328125,6208.0,5888.0,6400.0
timesfm_finetuned,1,2025-07-16,1,6263.7001953125,6240.0,6144.0,6304.0
timesfm_finetuned,1,2025-07-17,2,6297.35986328125,6208.0,6112.0,6336.0
timesfm_finetuned,1,2025-07-18,3,6296.7900390625,6208.0,6080.0,6336.0
timesfm_finetuned,1,2025-07-21,4,6305.60009765625,6208.0,6048.0,6336.0
timesfm_finetuned,1,2025-07-22,5,6309.6201171875,6208.0,6016.0,6336.0
timesfm_finetuned,1,2025-07-23,6,6358.91015625,6208.0,5984.0,6336.0
timesfm_finetuned,1,2025-07-24,7,6363.35009765625,6208.0,5984.0,6336.0
timesfm_finetuned,1,2025-07-25,8,6388.64013671875,6208.0,5984.0,6368.0
timesfm_finetuned,1,2025-07-28,9,6389.77001953125,6208.0,5984.0,6368.0
timesfm_finetuned,1,2025-07-29,10,6370.85986328125,6208.0,5984.0,6368.0
timesfm_finetuned,1,2025-07-30,11,6362.89990234375,6208.0,5984.0,6368.0
timesfm_finetuned,1,2025-07-31,12,6339.39013671875,6208.0,5952.0,6400.0
timesfm_finetuned,1,2025-08-01,13,6238.009765625,6208.0,5984.0,6400.0
timesfm_finetuned,1,2025-08-04,14,6329.93994140625,6208.0,5952.0,6400.0
timesfm_finetuned,1,2025-08-05,15,6299.18994140625,6208.0,5952.0,6400.0
timesfm_finetuned,1,2025-08-06,16,6345.06005859375,6208.0,5920.0,6368.0
timesfm_finetuned,1,2025-08-07,17,6340.0,6208.0,5952.0,6400.0
timesfm_finetuned,1,2025-08-08,18,6389.4501953125,6208.0,5920.0,6400.0
timesfm_finetuned,1,2025-08-11,19,6373.4501953125,6208.0,5920.0,6432.0
timesfm_finetuned,1,2025-08-12,20,6445.759765625,6208.0,5920.0,6432.0
timesfm_finetuned,2,2025-07-30,1,6362.89990234375,6368.0,6304.0,6400.0
timesfm_finetuned,2,2025-07-31,2,6339.39013671875,6368.0,6272.0,6432.0
timesfm_finetuned,2,2025-08-01,3,6238.009765625,6368.0,6240.0,6464.0
timesfm_finetuned,2,2025-08-04,4,6329.93994140625,6368.0,6208.0,6464.0
timesfm_finetuned,2,2025-08-05,5,6299.18994140625,6368.0,6208.0,6464.0
timesfm_finetuned,2,2025-08-06,6,6345.06005859375,6368.0,6176.0,6464.0
timesfm_finetuned,2,2025-08-07,7,6340.0,6368.0,6176.0,6496.0
timesfm_finetuned,2,2025-08-08,8,6389.4501953125,6368.0,6144.0,6496.0
timesfm_finetuned,2,2025-08-11,9,6373.4501953125,6368.0,6176.0,6496.0
timesfm_finetuned,2,2025-08-12,10,6445.759765625,6368.0,6144.0,6496.0
timesfm_finetuned,2,2025-08-13,11,6466.580078125,6368.0,6176.0,6496.0
timesfm_finetuned,2,2025-08-14,12,6468.5400390625,6368.0,6144.0,6528.0
timesfm_finetuned,2,2025-08-15,13,6449.7998046875,6368.0,6144.0,6528.0
timesfm_finetuned,2,2025-08-18,14,6449.14990234375,6368.0,6112.0,6528.0
timesfm_finetuned,2,2025-08-19,15,6411.3701171875,6368.0,6144.0,6528.0
timesfm_finetuned,2,2025-08-20,16,6395.77978515625,6368.0,6112.0,6528.0
timesfm_finetuned,2,2025-08-21,17,6370.169921875,6400.0,6112.0,6560.0
timesfm_finetuned,2,2025-08-22,18,6466.91015625,6400.0,6112.0,6560.0
timesfm_finetuned,2,2025-08-25,19,6439.31982421875,6368.0,6080.0,6592.0
