model,window_id,target_date,step_ahead,actual_close,pred_close,pred_q10,pred_q90
timesfm,0,2025-07-01,1,6198.009765625,6206.2207,6118.6396,6287.308
timesfm,0,2025-07-02,2,6227.419921875,6212.8726,6093.868,6322.663
timesfm,0,2025-07-03,3,6279.35009765625,6212.4536,6068.738,6333.95
timesfm,0,2025-07-07,4,6229.97998046875,6214.1807,6058.795,6346.881
timesfm,0,2025-07-08,5,6225.52001953125,6205.188,6038.7803,6347.461
timesfm,0,2025-07-09,6,6263.259765625,6202.553,6022.2275,6355.614
timesfm,0,2025-07-10,7,6280.4599609375,6200.7466,6008.986,6356.7734
timesfm,0,2025-07-11,8,6259.75,6195.979,5993.7715,6364.1147
timesfm,0,2025-07-14,9,6268.56005859375,6195.6797,5992.457,6354.5264
timesfm,0,2025-07-15,10,6243.759765625,6192.114,5972.0786,6361.8887
timesfm,0,2025-07-16,11,6263.7001953125,6193.908,5977.046,6359.2363
timesfm,0,2025-07-17,12,6297.35986328125,6183.6616,5945.0,6370.293
timesfm,0,2025-07-18,13,6296.7900390625,6178.9307,5954.55,6368.2764
timesfm,0,2025-07-21,14,6305.60009765625,6169.84,5927.7954,6360.2637
timesfm,0,2025-07-22,15,6309.6201171875,6175.6445,5934.263,6354.1094
timesfm,0,2025-07-23,16,6358.91015625,6168.502,5922.285,6355.9185
timesfm,0,2025-07-24,17,6363.35009765625,6183.743,5922.3076,6383.7954
timesfm,0,2025-07-25,18,6388.64013671875,6176.6816,5917.4478,6373.3354
timesfm,0,2025-07-28,19,6389.77001953125,6183.4326,5923.6187,6398.0244
timesfm,0,2025-07-29,20,6370.85986328125,6191.0767,5907.6587,6392.1816
timesfm,1,2025-07-16,1,6263.7001953125,6239.3354,6156.6133,6309.562
timesfm,1,2025-07-17,2,6297.35986328125,6227.7007,6107.8677,6334.089
timesfm,1,2025-07-18,3,6296.7900390625,6223.802,6070.5537,6341.9917
timesfm,1,2025-07-21,4,6305.60009765625,6218.5586,6041.619,6341.6543
timesfm,1,2025-07-22,5,6309.6201171875,6208.5684,6024.3945,6346.7603
timesfm,1,2025-07-23,6,6358.91015625,6202.3867,5991.7827,6352.4253
timesfm,1,2025-07-24,7,6363.35009765625,6202.3677,5982.07,6357.7246
timesfm,1,2025-07-25,8,6388.64013671875,6198.573,5973.264,6372.8325
timesfm,1,2025-07-28,9,6389.77001953125,6199.831,5980.7446,6361.212
timesfm,1,2025-07-29,10,6370.85986328125,6207.876,5978.806,6382.152
timesfm,1,2025-07-30,11,6362.89990234375,6211.4775,5990.136,6378.8936
timesfm,1,2025-07-31,12,6339.39013671875,6214.047,5968.63,6401.8335
timesfm,1,2025-08-01,13,6238.009765625,6209.085,5976.7925,6399.9175
timesfm,1,2025-08-04,14,6329.93994140625,6203.668,5953.282,6397.042
timesfm,1,2025-08-05,15,6299.18994140625,6209.803,5960.086,6391.541
timesfm,1,2025-08-06,16,6345.06005859375,6198.8857,5942.0215,6390.793
timesfm,1,2025-08-07,17,6340.0,6214.935,5945.435,6419.8325
timesfm,1,2025-08-08,18,6389.4501953125,6210.2393,5942.1807,6411.1064
timesfm,1,2025-08-11,19,6373.4501953125,6212.169,5944.2114,6434.361
timesfm,1,2025-08-12,20,6445.759765625,6219.3896,5926.9033,6428.9053
timesfm,2,2025-07-30,1,6362.89990234375,6373.0674,6322.4326,6403.833
timesfm,2,2025-07-31,2,6339.39013671875,6368.586,6292.03,6430.6025
timesfm,2,2025-08-01,3,6238.009765625,6371.431,6258.702,6443.827
timesfm,2,2025-08-04,4,6329.93994140625,6373.241,6236.7324,6449.1187
timesfm,2,2025-08-05,5,6299.18994140625,6367.9395,6217.497,6458.8433
timesfm,2,2025-08-06,6,6345.06005859375,6368.241,6195.816,6469.4463
timesfm,2,2025-08-07,7,6340.0,6376.7,6190.681,6480.9893
timesfm,2,2025-08-08,8,6389.4501953125,6369.9395,6173.6885,6487.4434
timesfm,2,2025-08-11,9,6373.4501953125,6376.671,6196.87,6484.8135
timesfm,2,2025-08-12,10,6445.759765625,6376.339,6181.706,6501.8706
timesfm,2,2025-08-13,11,6466.580078125,6378.212,6190.532,6497.81
timesfm,2,2025-08-14,12,6468.5400390625,6382.2207,6151.188,6522.356
timesfm,2,2025-08-15,13,6449.7998046875,6383.166,6170.1313,6523.6123
timesfm,2,2025-08-18,14,6449.14990234375,6380.634,6150.8477,6522.6504
timesfm,2,2025-08-19,15,6411.3701171875,6390.585,6160.4946,6523.436
timesfm,2,2025-08-20,16,6395.77978515625,6380.56,6147.0977,6531.2134
timesfm,2,2025-08-21,17,6370.169921875,6395.2275,6142.942,6555.2505
timesfm,2,2025-08-22,18,6466.91015625,6393.7666,6139.676,6554.779
timesfm,2,2025-08-25,19,6439.31982421875,6398.8267,6130.131,6577.521
timesfm,2,2025-08-26,20,6465.93994140625,6404.872,6116.508,6580.0894
timesfm,3,2025-08-13,1,6466.580078125,6450.618,6390.499,6489.4966
timesfm,3,2025-08-14,2,6468.5400390625,6449.797,6368.0957,6529.591
timesfm,3,2025-08-15,3,6449.7998046875,6455.586,6329.3447,6537.19
timesfm,3,2025-08-18,4,6449.14990234375,6457.243,6306.771,6540.7275
timesfm,3,2025-08-19,5,6411.3701171875,6458.083,6318.204,6568.3115
timesfm,3,2025-08-20,6,6395.77978515625,6457.037,6291.432,6578.6455
timesfm,3,2025-08-21,7,6370.169921875,6464.5615,6280.1396,6576.9434
timesfm,3,2025-08-22,8,6466.91015625,6457.157,6264.5063,6592.523
timesfm,3,2025-08-25,9,6439.31982421875,6469.25,6303.832,6584.497
timesfm,3,2025-08-26,10,6465.93994140625,6464.3525,6274.6074,6598.3203
timesfm,3,2025-08-27,11,6481.39990234375,6467.103,6297.0005,6597.764
timesfm,3,2025-08-28,12,6501.85986328125,6470.38,6250.1304,6634.0615
