model,window_id,target_date,step_ahead,actual_close,pred_close,pred_q10,pred_q90
lag-llama,0,2025-07-01,1,300.8999938964844,287.2525,262.0417816162109,316.3617401123047
lag-llama,0,2025-07-02,2,300.0,285.06723,256.2691619873047,310.8865203857422
lag-llama,0,2025-07-03,3,300.3999938964844,283.63736,245.02395324707032,315.52557373046875
lag-llama,0,2025-07-04,4,300.79998779296875,285.72577,260.1455963134766,313.15117797851565
lag-llama,0,2025-07-07,5,298.5,282.7619,256.73011016845703,310.3655242919922
lag-llama,0,2025-07-08,6,299.54998779296875,278.77823,252.57897491455077,310.6444610595703
lag-llama,0,2025-07-09,7,293.75,281.86346,257.8195770263672,307.777392578125
lag-llama,0,2025-07-10,8,291.5,285.5367,257.94525756835935,312.8231506347656
lag-llama,0,2025-07-11,9,293.25,284.26523,257.6661102294922,311.8338806152344
lag-llama,0,2025-07-14,10,293.29998779296875,283.52628,254.54056091308593,311.90231323242193
lag-llama,0,2025-07-15,11,293.3999938964844,283.55804,256.7895141601563,310.76079406738285
lag-llama,0,2025-07-16,12,292.75,278.3324,251.2574951171875,304.79013671875
lag-llama,0,2025-07-17,13,295.0,287.76498,257.48274383544924,317.3096313476563
lag-llama,0,2025-07-18,14,294.3999938964844,281.1221,259.31020202636716,307.75499267578124
lag-llama,0,2025-07-22,15,294.3500061035156,280.65518,250.8759750366211,308.9210845947266
lag-llama,0,2025-07-23,16,304.0,279.28857,247.9742462158203,306.24671630859376
lag-llama,0,2025-07-24,17,309.29998779296875,286.09058,256.95107421875,308.28956298828126
lag-llama,0,2025-07-25,18,306.20001220703125,289.64456,265.1271667480469,316.02778625488287
lag-llama,0,2025-07-28,19,304.29998779296875,283.01984,259.5556610107422,308.026318359375
lag-llama,0,2025-07-29,20,301.8999938964844,281.47208,254.28376159667968,306.1706085205078
lag-llama,1,2025-07-15,1,293.3999938964844,283.76385,254.9306396484375,314.0177703857422
lag-llama,1,2025-07-16,2,292.75,286.6094,257.3136840820313,323.17962646484375
lag-llama,1,2025-07-17,3,295.0,284.90576,245.41273345947266,318.65224609375
lag-llama,1,2025-07-18,4,294.3999938964844,286.09192,261.8411834716797,322.21563720703125
lag-llama,1,2025-07-22,5,294.3500061035156,285.5785,259.12921447753905,314.24602966308595
lag-llama,1,2025-07-23,6,304.0,287.3406,262.630517578125,311.53855590820314
lag-llama,1,2025-07-24,7,309.29998779296875,286.77063,253.4421417236328,318.7235595703125
lag-llama,1,2025-07-25,8,306.20001220703125,284.38312,252.11654357910157,313.6567840576172
lag-llama,1,2025-07-28,9,304.29998779296875,282.57666,254.63495025634765,306.3782531738281
lag-llama,1,2025-07-29,10,301.8999938964844,281.05603,249.9328125,311.46347961425784
lag-llama,1,2025-07-30,11,303.29998779296875,285.2752,255.8336181640625,316.0109588623047
lag-llama,1,2025-07-31,12,305.6000061035156,285.30014,262.59544372558594,309.09373168945314
