model,window_id,target_date,step_ahead,actual_close,pred_close,pred_q10,pred_q90
timesfm,0,2025-07-01,1,300.8999938964844,302.7861,297.2803,307.28223
timesfm,0,2025-07-02,2,300.0,302.46536,295.6922,307.82364
timesfm,0,2025-07-03,3,300.3999938964844,302.1302,294.2312,307.96332
timesfm,0,2025-07-04,4,300.79998779296875,301.9499,293.2131,308.32135
timesfm,0,2025-07-07,5,298.5,301.5164,292.0727,308.39844
timesfm,0,2025-07-08,6,299.54998779296875,301.5251,291.1788,309.09122
timesfm,0,2025-07-09,7,293.75,301.26385,289.88193,309.1534
timesfm,0,2025-07-10,8,291.5,301.22604,288.9776,309.57874
timesfm,0,2025-07-11,9,293.25,300.8194,288.475,309.67636
timesfm,0,2025-07-14,10,293.29998779296875,300.58383,287.4228,309.65182
timesfm,0,2025-07-15,11,293.3999938964844,300.56628,287.2141,309.7347
timesfm,0,2025-07-16,12,292.75,300.75955,286.77682,310.01944
timesfm,0,2025-07-17,13,295.0,300.63055,286.93518,310.3385
timesfm,0,2025-07-18,14,294.3999938964844,299.9109,285.38922,309.68716
timesfm,0,2025-07-22,15,294.3500061035156,299.12836,284.1371,309.07166
timesfm,0,2025-07-23,16,304.0,298.42896,283.22415,308.73764
timesfm,0,2025-07-24,17,309.29998779296875,298.36374,282.8523,308.99118
timesfm,0,2025-07-25,18,306.20001220703125,298.4936,282.65265,309.24884
timesfm,0,2025-07-28,19,304.29998779296875,298.06577,281.18427,309.71317
timesfm,0,2025-07-29,20,301.8999938964844,298.20148,280.4557,309.88562
timesfm,1,2025-07-15,1,293.3999938964844,293.93954,290.05746,297.44968
timesfm,1,2025-07-16,2,292.75,294.26517,289.376,298.835
timesfm,1,2025-07-17,3,295.0,294.32455,288.20206,299.45743
timesfm,1,2025-07-18,4,294.3999938964844,294.5818,287.49152,300.23038
timesfm,1,2025-07-22,5,294.3500061035156,294.4071,286.71194,300.67673
timesfm,1,2025-07-23,6,304.0,294.52295,285.84164,301.47012
timesfm,1,2025-07-24,7,309.29998779296875,294.2348,284.67783,301.35352
timesfm,1,2025-07-25,8,306.20001220703125,294.4118,284.09586,301.86182
timesfm,1,2025-07-28,9,304.29998779296875,294.43445,284.0225,302.37906
timesfm,1,2025-07-29,10,301.8999938964844,294.56635,283.36533,302.91034
timesfm,1,2025-07-30,11,303.29998779296875,294.45407,282.9601,302.98523
timesfm,1,2025-07-31,12,305.6000061035156,294.95615,282.77805,303.53107
timesfm,1,2025-08-01,13,306.3999938964844,295.038,282.68933,303.88382
timesfm,1,2025-08-04,14,302.79998779296875,295.17505,281.79642,303.8951
timesfm,1,2025-08-05,15,305.1000061035156,295.15482,281.32544,303.9701
timesfm,1,2025-08-06,16,308.5,295.04465,280.60513,303.98102
timesfm,1,2025-08-07,17,310.3999938964844,295.12317,280.41583,304.30594
timesfm,1,2025-08-08,18,314.0,295.36542,280.17303,304.5011
timesfm,1,2025-08-12,19,318.3999938964844,295.1232,279.15012,304.80594
timesfm,1,2025-08-13,20,321.1000061035156,295.05417,278.2248,304.82938
timesfm,2,2025-07-30,1,303.29998779296875,301.1162,295.93784,306.04004
timesfm,2,2025-07-31,2,305.6000061035156,300.947,294.26868,307.1698
timesfm,2,2025-08-01,3,306.3999938964844,300.62668,292.45868,307.4897
timesfm,2,2025-08-04,4,302.79998779296875,300.6129,291.25784,308.09692
timesfm,2,2025-08-05,5,305.1000061035156,300.56226,290.37537,308.72595
timesfm,2,2025-08-06,6,308.5,300.43488,288.98477,309.34912
timesfm,2,2025-08-07,7,310.3999938964844,300.0338,287.47864,309.2454
timesfm,2,2025-08-08,8,314.0,300.33316,286.99344,310.12665
timesfm,2,2025-08-12,9,318.3999938964844,300.0753,286.26236,310.31958
timesfm,2,2025-08-13,10,321.1000061035156,299.99683,285.01434,310.89148
timesfm,2,2025-08-14,11,317.70001220703125,299.47324,283.99487,310.6389
timesfm,2,2025-08-15,12,322.8999938964844,299.17044,282.7816,310.63074
timesfm,2,2025-08-18,13,324.0,298.67166,282.2416,310.69467
timesfm,2,2025-08-19,14,323.70001220703125,298.68774,281.02722,310.91052
timesfm,2,2025-08-20,15,322.0,298.42343,280.28442,310.85587
timesfm,2,2025-08-21,16,320.29998779296875,298.37238,279.76157,311.23642
timesfm,2,2025-08-22,17,322.0,298.2368,279.05704,311.29858
timesfm,2,2025-08-25,18,322.29998779296875,298.0566,278.2909,311.17825
timesfm,2,2025-08-26,19,319.1000061035156,297.53073,276.9752,311.43176
timesfm,2,2025-08-27,20,318.79998779296875,297.74973,276.43808,311.92047
timesfm,3,2025-08-14,1,317.70001220703125,321.39008,314.3309,327.63104
timesfm,3,2025-08-15,2,322.8999938964844,320.59628,310.7291,329.3197
timesfm,3,2025-08-18,3,324.0,319.26715,306.89926,329.80054
timesfm,3,2025-08-19,4,323.70001220703125,317.84146,303.40463,329.984
timesfm,3,2025-08-20,5,322.0,316.52515,300.46338,329.70316
timesfm,3,2025-08-21,6,320.29998779296875,315.29578,297.55945,329.90414
timesfm,3,2025-08-22,7,322.0,314.0408,295.06296,329.6912
timesfm,3,2025-08-25,8,322.29998779296875,313.598,293.89667,330.37137
timesfm,3,2025-08-26,9,319.1000061035156,312.80038,292.37164,330.015
timesfm,3,2025-08-27,10,318.79998779296875,311.80075,290.31024,329.74097
timesfm,3,2025-08-28,11,321.0,311.5214,289.69412,329.71698
timesfm,3,2025-08-29,12,319.6000061035156,310.86462,288.49133,329.73422
timesfm,3,2025-09-01,13,318.1000061035156,310.05542,288.11145,329.25974
timesfm,3,2025-09-02,14,320.3999938964844,309.64224,286.3023,329.5305
timesfm,3,2025-09-03,15,316.79998779296875,309.1099,285.2558,329.12103
timesfm,3,2025-09-04,16,319.8999938964844,308.97775,285.06332,329.6303
timesfm,3,2025-09-05,17,323.0,309.20798,285.01807,330.26517
timesfm,3,2025-09-08,18,326.20001220703125,308.92447,284.15332,330.00293
timesfm,3,2025-09-09,19,324.5,308.80545,283.0945,330.341
timesfm,3,2025-09-10,20,326.1000061035156,309.193,282.4573,330.98364
timesfm,4,2025-08-28,1,321.0,319.64902,314.41577,323.77994
timesfm,4,2025-08-29,2,319.6000061035156,319.28937,312.72107,324.79788
timesfm,4,2025-09-01,3,318.1000061035156,319.01813,310.87354,325.33954
