regime,model,mae,rmse,dir_acc,n_points,n_windows,coverage_80
stable,kronos,191.20704187475226,288.97862076858723,0.4685908319185059,1860,93,0.19408602150537635
stable,lag-llama,315.355387300661,455.0035851928116,0.4940577249575552,1860,93,0.37473118279569895
stable,timesfm,61.26060787794859,106.0119301019926,0.5110356536502547,1860,93,0.7526881720430108
stable,itransformer,95.20380159105763,156.07440445085786,0.511601584606678,1860,93,
medium,kronos,1455.2364584416928,3680.2356492638496,0.4776887871853547,1840,92,0.18532608695652175
medium,lag-llama,1343.4582979672957,2817.3963338195995,0.4914187643020595,1840,92,0.5793478260869566
medium,timesfm,539.278331608961,1318.5232905942262,0.4977116704805492,1840,92,0.7081521739130435
medium,itransformer,845.8356051369523,1860.854017084823,0.5097254004576659,1840,92,
unstable,kronos,4460.734045635757,7228.055426246821,0.49971703452178834,1860,93,0.23978494623655913
unstable,lag-llama,8963.6282184593,15389.227173160001,0.5065082059988681,1860,93,0.7870967741935484
unstable,timesfm,2192.140192383542,4327.81658887251,0.49349179400113186,1860,93,0.8102150537634408
unstable,itransformer,4424.122904212986,7198.480684990964,0.5172608941709111,1860,93,
