date,open,high,low,volume,amount,close
2015-01-05,3258.626953125,3369.281005859375,3253.883056640625,531400,1780465819.4335938,3350.51904296875
2015-01-06,3330.799072265625,3394.22412109375,3303.18408203125,501700,1681420480.7373047,3351.446044921875
2015-01-07,3326.64892578125,3374.89599609375,3312.2109375,391900,1322252612.4023438,3373.9541015625
2015-01-08,3371.95703125,3381.56591796875,3285.094970703125,371100,1222201541.8945312,3293.4560546875
2015-01-09,3276.965087890625,3404.833984375,3267.509033203125,410200,1347676047.265625,3285.412109375
2015-01-12,3258.212890625,3275.18505859375,3191.58203125,322100,1040162657.1777344,3229.31591796875
2015-01-13,3223.5419921875,3259.385986328125,3214.412109375,230700,746383946.5576172,3235.301025390625
2015-01-14,3242.3369140625,3268.48291015625,3193.97802734375,240200,774029370.2148438,3222.43701171875
2015-01-15,3224.070068359375,3337.083984375,3207.544921875,282500,942548559.5703124,3336.455078125
2015-01-16,3343.60302734375,3400.318115234375,3340.489990234375,339900,1147670690.3320312,3376.4951171875
2015-01-19,3189.72705078125,3262.20703125,3095.06591796875,401100,1249968415.8691406,3116.35107421875
2015-01-20,3114.56005859375,3190.2451171875,3100.47705078125,357100,1133096869.897461,3173.052001953125
2015-01-21,3189.0849609375,3337.00390625,3178.343017578125,411000,1366004155.517578,3323.611083984375
2015-01-22,3327.319091796875,3352.384033203125,3293.97802734375,353400,1181537767.5292969,3343.343994140625
2015-01-23,3357.095947265625,3406.785888671875,3328.29296875,366200,1227415946.044922,3351.763916015625
2015-01-26,3347.257080078125,3384.798095703125,3321.31494140625,317500,1074160248.413086,3383.181884765625
2015-01-27,3389.85302734375,3390.216064453125,3290.218994140625,374500,1255683505.3710938,3352.9599609375
2015-01-28,3325.721923828125,3354.802001953125,3294.655029296875,301900,998002313.4033204,3305.738037109375
2015-01-29,3258.9970703125,3286.785888671875,3234.240966796875,274700,896155164.7216797,3262.304931640625
2015-01-30,3273.7470703125,3288.5029296875,3210.30810546875,258300,829236772.4853516,3210.363037109375
2015-02-02,3148.135986328125,3175.134033203125,3122.572021484375,250900,784890482.2509766,3128.300048828125
2015-02-03,3156.0859375,3207.93505859375,3129.73193359375,248200,795457913.0371094,3204.906982421875
2015-02-04,3212.822021484375,3238.98193359375,3171.14404296875,249100,790674780.7617188,3174.1259765625
2015-02-05,3251.2119140625,3251.2119140625,3135.819091796875,306100,960092140.8935548,3136.531005859375
2015-02-06,3120.090087890625,3129.5390625,3052.93896484375,246700,758826252.5634766,3075.906982421875
2015-02-09,3063.510009765625,3119.033935546875,3049.111083984375,206100,637905061.2304688,3095.1240234375
2015-02-10,3090.489990234375,3142.09912109375,3084.2529296875,193800,608840726.8066406,3141.593017578125
2015-02-11,3145.764892578125,3166.4208984375,3139.052001953125,172800,545651268.75,3157.7041015625
2015-02-12,3157.958984375,3181.76611328125,3134.243896484375,194600,617546756.640625,3173.416015625
2015-02-13,3186.80810546875,3237.158935546875,3182.7939453125,261300,837159970.0927734,3203.826904296875
2015-02-16,3206.136962890625,3228.845947265625,3195.884033203125,223800,721164847.7050781,3222.363037109375
2015-02-17,3230.884033203125,3255.72509765625,3230.77197265625,228300,741268641.1376953,3246.906005859375
2015-02-25,3256.47900390625,3257.222900390625,3215.552001953125,233300,753289076.0009766,3228.843017578125
2015-02-26,3222.15087890625,3300.615966796875,3202.18798828125,301300,993795532.5683594,3298.35888671875
2015-02-27,3296.8310546875,3324.5458984375,3291.007080078125,299200,990442651.171875,3310.302978515625
2015-03-02,3332.720947265625,3336.760009765625,3298.6689453125,346400,1155689093.5546875,3336.284912109375
2015-03-03,3317.695068359375,3317.695068359375,3260.428955078125,382000,1246485864.7460938,3263.052001953125
2015-03-04,3264.181884765625,3286.587890625,3250.48388671875,293600,962870876.7578124,3279.532958984375
2015-03-05,3264.0849609375,3266.637939453125,3221.666015625,320700,1041786277.0019532,3248.47607421875
2015-03-06,3248.035888671875,3266.93310546875,3234.532958984375,282900,916931805.6152344,3241.18701171875
2015-03-09,3224.31396484375,3307.701904296875,3198.3701171875,321500,1061724158.8134766,3302.407958984375
2015-03-10,3289.0849609375,3309.9150390625,3277.094970703125,285800,939158267.3339844,3286.068115234375
2015-03-11,3289.593994140625,3325.053955078125,3278.470947265625,283000,931324672.3632812,3290.89990234375
2015-03-12,3314.81298828125,3360.053955078125,3300.488037109375,357300,1196713107.2021484,3349.322998046875
2015-03-13,3359.488037109375,3391.2548828125,3352.14990234375,328400,1107663935.8398438,3372.910888671875
2015-03-16,3391.157958984375,3449.304931640625,3377.0869140625,399100,1376617598.2177734,3449.304931640625
2015-03-17,3469.60302734375,3504.123046875,3459.694091796875,520900,1824632962.6220703,3502.846923828125
2015-03-18,3510.5009765625,3577.662109375,3503.85302734375,545200,1950344519.0429688,3577.301025390625
2015-03-19,3576.01904296875,3600.68408203125,3546.843994140625,537300,1924754206.201172,3582.27099609375
2015-03-20,3587.083984375,3632.337890625,3569.3798828125,516700,1869068270.1416016,3617.318115234375
2015-03-23,3640.10400390625,3688.2490234375,3635.485107421875,536100,1976990995.4589844,3687.72802734375
2015-03-24,3692.569091796875,3715.873046875,3600.697998046875,639600,2361025779.785156,3691.409912109375
2015-03-25,3680.952880859375,3693.15087890625,3634.55908203125,521900,1910533447.8027344,3660.72705078125
2015-03-26,3641.94189453125,3707.318115234375,3615.010986328125,488600,1799071602.6855469,3682.094970703125
2015-03-27,3686.134033203125,3710.47705078125,3656.8310546875,408900,1509289132.836914,3691.095947265625
2015-03-30,3710.612060546875,3795.93505859375,3710.612060546875,564700,2138275014.672852,3786.568115234375
2015-03-31,3822.987060546875,3835.56689453125,3737.04296875,561700,2105194826.611328,3747.89892578125
2015-04-01,3748.340087890625,3817.08203125,3742.212890625,447500,1705106540.5273438,3810.2939453125
2015-04-02,3827.68896484375,3835.450927734375,3775.89404296875,479300,1833698240.3076167,3825.783935546875
2015-04-03,3803.383056640625,3864.405029296875,3792.2109375,473000,1827638395.751953,3863.928955078125
2015-04-07,3899.419921875,3961.666015625,3891.72802734375,570400,2259569971.09375,3961.3779296875
2015-04-08,3976.531982421875,4000.219970703125,3903.64794921875,618100,2469192700.830078,3994.81103515625
2015-04-09,4006.1298828125,4016.39599609375,3900.027099609375,585200,2315948859.0820312,3957.533935546875
2015-04-10,3947.491943359375,4040.347900390625,3929.319091796875,484300,1953816361.376953,4034.31005859375
2015-04-13,4072.722900390625,4128.07177734375,4057.29296875,589800,2430987414.84375,4121.71484375
2015-04-14,4125.7822265625,4168.34619140625,4091.257080078125,610700,2525589509.716797,4135.56494140625
2015-04-15,4135.64794921875,4175.494140625,4069.007080078125,613000,2503591971.6796875,4084.1630859375
2015-04-16,4055.916015625,4195.30517578125,4031.243896484375,551200,2312186571.09375,4194.8232421875
2015-04-17,4254.72314453125,4317.22314453125,4238.91015625,701700,3008395531.9335938,4287.2958984375
2015-04-20,4301.35205078125,4356.0009765625,4190.68115234375,857100,3614456823.925781,4217.0771484375
2015-04-21,4212.18505859375,4294.375,4188.56884765625,634500,2724303823.2421875,4293.623046875
2015-04-22,4304.59716796875,4400.19287109375,4297.951171875,680300,2992295563.8671875,4398.494140625
2015-04-23,4414.48486328125,4444.41015625,4358.84423828125,667300,2945801063.28125,4414.5078125
2015-04-24,4355.951171875,4416.3759765625,4318.119140625,628600,2761871041.6992188,4393.68603515625
2015-04-27,4441.92919921875,4529.73486328125,4441.92919921875,671100,3038335452.978516,4527.39599609375
2015-04-28,4527.634765625,4572.39111328125,4432.90380859375,767700,3436390135.546875,4476.21484375
2015-04-29,4446.119140625,4499.94482421875,4398.63916015625,519800,2326947136.9140625,4476.6201171875
2015-04-30,4483.01318359375,4507.34423828125,4441.05419921875,526700,2339419575.341797,4441.65478515625
2015-05-04,4441.3427734375,4487.56982421875,4387.42578125,494200,2214245243.1640625,4480.4638671875
2015-05-05,4479.84814453125,4488.865234375,4282.23681640625,572900,2462728698.7304688,4298.7060546875
2015-05-06,4311.64111328125,4376.35302734375,4187.3681640625,481700,2037237486.767578,4229.26611328125
2015-05-07,4197.89599609375,4213.76416015625,4108.0087890625,394600,1622679591.9921875,4112.2138671875
